voucher_no,voucher_date,supplier_id,supplier_name,product_id,stock_item,pack,qty,unit,rate,discount_pct,taxable_amount,gst_amount,invoice_amount,godown
PUR000035,2025-06-22,SUP006,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,246,PCS,189.07,2.0,45581.0,5469.72,51050.72,Tonk Branch
PUR000036,2025-07-31,SUP007,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,229,PCS,190.87,1.0,43272.14,5192.66,48464.8,Main Godown
PUR000037,2025-08-30,SUP008,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,304,PCS,190.04,0.0,57772.16,6932.66,64704.82,Tonk Branch
PUR000038,2025-09-21,SUP009,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,107,PCS,191.47,1.0,20282.42,2433.89,22716.31,Main Godown
PUR000039,2025-10-31,SUP010,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,315,PCS,189.96,3.0,58042.28,6965.07,65007.35,Tonk Branch
PUR000040,2025-11-27,SUP011,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,301,PCS,189.84,1.0,56570.42,6788.45,63358.87,Main Godown
PUR000041,2025-12-20,SUP012,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,143,PCS,189.59,0.0,27111.37,3253.36,30364.73,Tonk Branch
PUR000042,2026-01-19,SUP013,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,302,PCS,191.79,0.0,57920.58,6950.47,64871.05,Main Godown
PUR000043,2026-02-21,SUP014,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,97,PCS,189.8,0.0,18410.6,2209.27,20619.87,Main Godown
PUR000044,2026-03-19,SUP015,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,329,PCS,190.57,1.0,62070.55,7448.47,69519.02,Tonk Branch
PUR000045,2026-04-29,SUP001,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,158,PCS,189.43,0.0,29929.94,3591.59,33521.53,Tonk Branch
PUR000046,2026-05-31,SUP002,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,195,PCS,189.08,2.0,36133.19,4335.98,40469.17,Main Godown
PUR000047,2026-06-25,SUP003,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,269,PCS,190.25,3.0,49641.93,5957.03,55598.96,Main Godown
PUR000048,2026-07-21,SUP004,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,303,PCS,189.46,0.0,57406.38,6888.77,64295.15,Main Godown
PUR000049,2024-09-01,SUP005,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,280,PCS,194.53,1.0,53923.72,6470.85,60394.57,Tonk Branch
PUR000050,2024-09-25,SUP006,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,310,PCS,196.7,1.0,60367.23,7244.07,67611.3,Main Godown
PUR000051,2024-11-01,SUP007,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,187,PCS,195.68,2.0,35860.32,4303.24,40163.56,Main Godown
PUR000052,2024-11-20,SUP008,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,213,PCS,196.89,0.0,41937.57,5032.51,46970.08,Main Godown
PUR000053,2024-12-25,SUP009,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,144,PCS,194.12,1.0,27673.75,3320.85,30994.6,Main Godown
PUR000054,2025-01-31,SUP010,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,316,PCS,196.92,3.0,60359.92,7243.19,67603.11,Main Godown
PUR000055,2025-02-24,SUP011,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,142,PCS,196.33,3.0,27042.49,3245.1,30287.59,Tonk Branch
PUR000056,2025-03-24,SUP012,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,233,PCS,194.33,2.0,44373.31,5324.8,49698.11,Main Godown
PUR000057,2025-04-30,SUP013,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,309,PCS,195.66,1.0,59854.35,7182.52,67036.87,Tonk Branch
PUR000058,2025-06-01,SUP014,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,226,PCS,195.3,0.0,44137.8,5296.54,49434.34,Main Godown
PUR000059,2025-06-25,SUP015,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,169,PCS,194.15,3.0,31827.01,3819.24,35646.25,Tonk Branch
PUR000060,2025-08-01,SUP001,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,326,PCS,195.19,1.0,62995.62,7559.47,70555.09,Tonk Branch
PUR000061,2025-08-28,SUP002,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,94,PCS,194.68,3.0,17750.92,2130.11,19881.03,Main Godown
PUR000062,2025-09-26,SUP003,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,197,PCS,196.91,1.0,38403.36,4608.4,43011.76,Main Godown
PUR000063,2025-10-29,SUP004,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,169,PCS,195.39,0.0,33020.91,3962.51,36983.42,Main Godown
PUR000064,2025-11-25,SUP005,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,181,PCS,196.38,0.0,35544.78,4265.37,39810.15,Main Godown
PUR000065,2025-12-30,SUP006,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,47,PCS,196.34,2.0,9043.42,1085.21,10128.63,Main Godown
PUR000066,2026-02-01,SUP007,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,112,PCS,195.76,0.0,21925.12,2631.01,24556.13,Tonk Branch
PUR000067,2026-02-18,SUP008,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,216,PCS,194.82,1.0,41660.31,4999.24,46659.55,Tonk Branch
PUR000068,2026-03-23,SUP009,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,151,PCS,195.32,3.0,28608.52,3433.02,32041.54,Tonk Branch
PUR000069,2026-04-21,SUP010,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,717,PCS,194.06,0.0,139141.02,16696.92,155837.94,Main Godown
PUR000070,2026-05-22,SUP011,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,330,PCS,194.09,0.0,64049.7,7685.96,71735.66,Tonk Branch
PUR000071,2026-06-21,SUP012,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,185,PCS,196.08,1.0,35912.05,4309.45,40221.5,Main Godown
PUR000072,2026-07-19,SUP013,Nestle Area Office Jaipur,PRD0003,Nescafe Classic,50g,361,PCS,195.1,1.0,69726.79,8367.21,78094.0,Main Godown
PUR000073,2024-09-01,SUP014,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,261,PCS,174.94,2.0,44746.15,5369.54,50115.69,Tonk Branch
PUR000074,2024-09-23,SUP015,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,183,PCS,175.49,0.0,32114.67,3853.76,35968.43,Main Godown
PUR000075,2024-10-18,SUP001,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,146,PCS,174.83,2.0,25014.68,3001.76,28016.44,Tonk Branch
PUR000076,2024-11-19,SUP002,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,264,PCS,174.55,3.0,44698.76,5363.85,50062.61,Main Godown
PUR000077,2024-12-30,SUP003,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,231,PCS,175.45,0.0,40528.95,4863.47,45392.42,Tonk Branch
PUR000078,2025-01-18,SUP004,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,142,PCS,175.88,3.0,24225.71,2907.09,27132.8,Main Godown
PUR000079,2025-02-20,SUP005,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,226,PCS,176.68,3.0,38731.79,4647.81,43379.6,Tonk Branch
PUR000080,2025-03-18,SUP006,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,448,PCS,176.29,3.0,76608.58,9193.03,85801.61,Main Godown
PUR000081,2025-04-20,SUP007,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,348,PCS,175.67,0.0,61133.16,7335.98,68469.14,Main Godown
PUR000082,2025-05-18,SUP008,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,136,PCS,175.33,3.0,23129.53,2775.54,25905.07,Main Godown
PUR000083,2025-06-21,SUP009,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,180,PCS,176.7,3.0,30851.82,3702.22,34554.04,Tonk Branch
PUR000084,2025-07-28,SUP010,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,116,PCS,174.4,0.0,20230.4,2427.65,22658.05,Tonk Branch
PUR000085,2025-08-30,SUP011,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,224,PCS,176.74,0.0,39589.76,4750.77,44340.53,Main Godown
PUR000086,2025-09-21,SUP012,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,292,PCS,176.09,0.0,51418.28,6170.19,57588.47,Main Godown
PUR000087,2025-10-29,SUP013,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,169,PCS,175.69,3.0,28800.86,3456.1,32256.96,Main Godown
PUR000088,2025-11-21,SUP014,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,177,PCS,175.88,0.0,31130.76,3735.69,34866.45,Main Godown
PUR000089,2026-01-01,SUP015,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,271,PCS,175.46,0.0,47549.66,5705.96,53255.62,Main Godown
PUR000090,2026-01-21,SUP001,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,172,PCS,174.34,2.0,29386.75,3526.41,32913.16,Tonk Branch
PUR000091,2026-02-24,SUP002,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,265,PCS,174.25,0.0,46176.25,5541.15,51717.4,Main Godown
PUR000092,2026-03-18,SUP003,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,269,PCS,175.44,1.0,46721.43,5606.57,52328.0,Main Godown
PUR000093,2026-04-27,SUP004,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,329,PCS,175.98,0.0,57897.42,6947.69,64845.11,Main Godown
PUR000094,2026-05-22,SUP005,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,471,PCS,176.56,0.0,83159.76,9979.17,93138.93,Main Godown
PUR000095,2026-06-20,SUP006,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,317,PCS,175.39,1.0,55042.64,6605.12,61647.76,Main Godown
PUR000096,2026-07-26,SUP007,HUL Distributor Ajmer,PRD0004,Bru Gold Coffee,100g,280,PCS,174.67,0.0,48907.6,5868.91,54776.51,Tonk Branch
PUR000097,2024-09-01,SUP008,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,160,PCS,18.17,0.0,2907.2,348.86,3256.06,Tonk Branch
PUR000098,2024-09-24,SUP009,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,217,PCS,18.14,3.0,3818.29,458.19,4276.48,Main Godown
PUR000099,2024-10-19,SUP010,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,119,PCS,18.18,3.0,2098.52,251.82,2350.34,Main Godown
PUR000100,2024-11-25,SUP011,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,152,PCS,18.08,3.0,2665.72,319.89,2985.61,Main Godown
PUR000101,2024-12-23,SUP012,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,322,PCS,18.09,0.0,5824.98,699.0,6523.98,Main Godown
PUR000102,2025-01-19,SUP013,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,223,PCS,18.03,0.0,4020.69,482.48,4503.17,Tonk Branch
PUR000103,2025-02-26,SUP014,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,355,PCS,17.99,1.0,6322.59,758.71,7081.3,Main Godown
PUR000104,2025-03-29,SUP015,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,214,PCS,18.15,1.0,3845.26,461.43,4306.69,Tonk Branch
PUR000105,2025-04-26,SUP001,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,164,PCS,18.07,0.0,2963.48,355.62,3319.1,Tonk Branch
PUR000106,2025-05-29,SUP002,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,301,PCS,18.13,0.0,5457.13,654.86,6111.99,Main Godown
PUR000107,2025-06-27,SUP003,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,393,PCS,17.98,0.0,7066.14,847.94,7914.08,Main Godown
PUR000108,2025-07-29,SUP004,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,257,PCS,17.97,2.0,4525.92,543.11,5069.03,Main Godown
PUR000109,2025-08-30,SUP005,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,407,PCS,17.96,0.0,7309.72,877.17,8186.89,Main Godown
PUR000110,2025-09-22,SUP006,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,412,PCS,18.09,0.0,7453.08,894.37,8347.45,Tonk Branch
PUR000111,2025-10-19,SUP007,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,214,PCS,18.04,2.0,3783.35,454.0,4237.35,Tonk Branch
PUR000112,2025-11-20,SUP008,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,269,PCS,17.93,2.0,4726.71,567.21,5293.92,Main Godown
PUR000113,2025-12-21,SUP009,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,236,PCS,18.01,0.0,4250.36,510.04,4760.4,Main Godown
PUR000114,2026-01-24,SUP010,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,179,PCS,18.11,0.0,3241.69,389.0,3630.69,Tonk Branch
PUR000115,2026-02-17,SUP011,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,113,PCS,17.93,2.0,1985.57,238.27,2223.84,Main Godown
PUR000116,2026-04-01,SUP012,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,418,PCS,17.94,2.0,7348.94,881.87,8230.81,Tonk Branch
PUR000117,2026-04-17,SUP013,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,624,PCS,17.92,0.0,11182.08,1341.85,12523.93,Main Godown
PUR000118,2026-05-30,SUP014,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,290,PCS,18.14,1.0,5207.99,624.96,5832.95,Tonk Branch
PUR000119,2026-06-18,SUP015,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,329,PCS,18.03,3.0,5753.91,690.47,6444.38,Main Godown
PUR000120,2026-07-18,SUP001,Amul Regional Office Jaipur,PRD0005,Amul Kool Milk,200ml,366,PCS,18.07,0.0,6613.62,793.63,7407.25,Main Godown
PUR000121,2024-09-01,SUP002,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,332,PCS,8.98,3.0,2891.92,347.03,3238.95,Main Godown
PUR000122,2024-09-27,SUP003,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,244,PCS,9.08,0.0,2215.52,265.86,2481.38,Tonk Branch
PUR000123,2024-10-20,SUP004,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,159,PCS,9.03,2.0,1407.05,168.85,1575.9,Tonk Branch
PUR000124,2024-11-25,SUP005,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,48,PCS,8.96,2.0,421.48,50.58,472.06,Main Godown
PUR000125,2024-12-20,SUP006,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,201,PCS,8.99,1.0,1788.92,214.67,2003.59,Main Godown
PUR000126,2025-01-24,SUP007,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,269,PCS,8.96,1.0,2386.14,286.34,2672.48,Tonk Branch
PUR000127,2025-02-15,SUP008,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,142,PCS,9.03,1.0,1269.44,152.33,1421.77,Tonk Branch
PUR000128,2025-03-31,SUP009,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,344,PCS,9.07,0.0,3120.08,374.41,3494.49,Tonk Branch
PUR000129,2025-05-01,SUP010,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,482,PCS,8.97,2.0,4237.07,508.45,4745.52,Main Godown
PUR000130,2025-05-28,SUP011,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,282,PCS,9.03,0.0,2546.46,305.58,2852.04,Main Godown
PUR000131,2025-06-19,SUP012,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,333,PCS,9.02,2.0,2943.59,353.23,3296.82,Tonk Branch
PUR000132,2025-07-20,SUP013,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,233,PCS,8.98,2.0,2050.49,246.06,2296.55,Main Godown
PUR000133,2025-08-23,SUP014,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,295,PCS,9.03,0.0,2663.85,319.66,2983.51,Tonk Branch
PUR000134,2025-09-30,SUP015,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,385,PCS,9.08,0.0,3495.8,419.5,3915.3,Main Godown
PUR000135,2025-10-27,SUP001,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,275,PCS,9.04,3.0,2411.42,289.37,2700.79,Main Godown
PUR000136,2025-11-29,SUP002,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,363,PCS,8.98,0.0,3259.74,391.17,3650.91,Main Godown
PUR000137,2025-12-20,SUP003,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,98,PCS,8.98,0.0,880.04,105.6,985.64,Tonk Branch
PUR000138,2026-01-25,SUP004,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,92,PCS,8.98,3.0,801.38,96.17,897.55,Tonk Branch
PUR000139,2026-02-25,SUP005,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,140,PCS,9.04,2.0,1240.29,148.83,1389.12,Main Godown
PUR000140,2026-03-27,SUP006,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,263,PCS,9.03,3.0,2303.64,276.44,2580.08,Tonk Branch
PUR000141,2026-04-30,SUP007,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,463,PCS,8.96,3.0,4024.03,482.88,4506.91,Main Godown
PUR000142,2026-06-01,SUP008,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,281,PCS,9.02,3.0,2458.58,295.03,2753.61,Main Godown
PUR000143,2026-06-27,SUP009,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,356,PCS,9.01,0.0,3207.56,384.91,3592.47,Tonk Branch
PUR000144,2026-07-18,SUP010,PepsiCo Rajasthan,PRD0006,Frooti Mango Drink,200ml,333,PCS,9.09,0.0,3026.97,363.24,3390.21,Main Godown
PUR000145,2024-09-01,SUP011,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,240,PCS,32.0,1.0,7603.2,912.38,8515.58,Main Godown
PUR000146,2024-09-25,SUP012,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,91,PCS,31.91,1.0,2874.77,344.97,3219.74,Main Godown
PUR000147,2024-10-30,SUP013,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,146,PCS,31.95,3.0,4524.76,542.97,5067.73,Tonk Branch
PUR000148,2024-11-18,SUP014,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,309,PCS,31.9,0.0,9857.1,1182.85,11039.95,Main Godown
PUR000149,2024-12-25,SUP015,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,82,PCS,32.18,1.0,2612.37,313.48,2925.85,Main Godown
PUR000150,2025-01-22,SUP001,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,244,PCS,32.02,0.0,7812.88,937.55,8750.43,Tonk Branch
PUR000151,2025-02-17,SUP002,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,194,PCS,32.11,1.0,6167.05,740.05,6907.1,Tonk Branch
PUR000152,2025-03-19,SUP003,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,367,PCS,31.93,3.0,11366.76,1364.01,12730.77,Main Godown
PUR000153,2025-04-24,SUP004,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,256,PCS,32.27,0.0,8261.12,991.33,9252.45,Tonk Branch
PUR000154,2025-05-26,SUP005,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,399,PCS,32.11,1.0,12683.77,1522.05,14205.82,Tonk Branch
PUR000155,2025-06-29,SUP006,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,348,PCS,31.88,1.0,10983.3,1318.0,12301.3,Main Godown
PUR000156,2025-07-19,SUP007,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,220,PCS,31.87,0.0,7011.4,841.37,7852.77,Main Godown
PUR000157,2025-08-21,SUP008,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,303,PCS,32.25,1.0,9674.03,1160.88,10834.91,Tonk Branch
PUR000158,2025-09-24,SUP009,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,294,PCS,31.94,1.0,9296.46,1115.58,10412.04,Tonk Branch
PUR000159,2025-10-20,SUP010,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,383,PCS,32.04,3.0,11903.18,1428.38,13331.56,Tonk Branch
PUR000160,2025-11-17,SUP011,Coca-Cola Area Office,PRD0007,Maaza Mango,600ml,307,PCS,31.98,0.0,9817.86,1178.14,10996.0,Main Godown
