voucher_no,voucher_date,customer_id,party_name,place,product_id,stock_item,pack,qty,unit,rate_cost,rate_sale,discount_pct,taxable_amount,gst_amount,invoice_amount,godown,salesman_name,voucher_type
SAL000113,2025-02-26,CUST0003,Patel Sons,Khanpur,PRD0114,Comfort Fabric Softener,800ml,41,PCS,95.35,145.0,0.0,5945.0,713.4,10453.28,Tonk Branch,Amit Sharma,Sales
SAL000113,2025-02-26,CUST0003,Patel Sons,Khanpur,PRD0019,Dettol Soap,125g,17,PCS,31.18,48.0,0.0,816.0,146.88,10453.28,Tonk Branch,Amit Sharma,Sales
SAL000119,2025-04-07,CUST0003,Patel Sons,Khanpur,PRD0064,Sunfeast Dark Fantasy,150g,8,PCS,31.04,45.0,2.0,352.8,42.34,6894.56,Main Godown,Amit Sharma,Sales
SAL000119,2025-04-07,CUST0003,Patel Sons,Khanpur,PRD0005,Amul Kool Milk,200ml,20,PCS,18.1,25.0,0.0,500.0,60.0,6894.56,Sawai Madhopur Branch,Amit Sharma,Sales
SAL000119,2025-04-07,CUST0003,Patel Sons,Khanpur,PRD0121,Sarpan Hybrid Seeds,500g,21,PCS,187.18,260.0,0.0,5460.0,273.0,6894.56,Tonk Branch,Amit Sharma,Sales
SAL000119,2025-04-07,CUST0003,Patel Sons,Khanpur,PRD0096,Dettol Handwash,200ml,2,PCS,65.39,95.0,3.0,184.3,22.12,6894.56,Sawai Madhopur Branch,Amit Sharma,Sales
SAL000122,2025-06-18,CUST0003,Patel Sons,Khanpur,PRD0006,Frooti Mango Drink,200ml,36,PCS,9.14,13.0,0.0,468.0,56.16,4798.92,Main Godown,Nikhil Gupta,Sales
SAL000122,2025-06-18,CUST0003,Patel Sons,Khanpur,PRD0131,Harpic Bathroom Cleaner,500ml,20,PCS,78.57,120.0,2.0,2352.0,423.36,4798.92,Main Godown,Nikhil Gupta,Sales
SAL000122,2025-06-18,CUST0003,Patel Sons,Khanpur,PRD0086,Amul Milk 1L Pouch,1L,21,PCS,55.89,68.0,0.0,1428.0,71.4,4798.92,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000124,2025-06-07,CUST0003,Patel Sons,Khanpur,PRD0096,Dettol Handwash,200ml,23,PCS,66.09,95.0,0.0,2185.0,262.2,6151.38,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000124,2025-06-07,CUST0003,Patel Sons,Khanpur,PRD0022,Dove Soap,75g,11,PCS,42.25,65.0,0.0,715.0,128.7,6151.38,Main Godown,Nikhil Gupta,Sales
SAL000124,2025-06-07,CUST0003,Patel Sons,Khanpur,PRD0077,Catch Black Pepper,50g,24,PCS,38.3,52.0,0.0,1248.0,62.4,6151.38,Main Godown,Nikhil Gupta,Sales
SAL000124,2025-06-07,CUST0003,Patel Sons,Khanpur,PRD0049,Exo Dishwash Bar,200g,26,PCS,15.28,22.0,0.0,572.0,68.64,6151.38,Main Godown,Nikhil Gupta,Sales
SAL000124,2025-06-07,CUST0003,Patel Sons,Khanpur,PRD0038,Rin Detergent,500g,14,PCS,38.24,58.0,0.0,812.0,97.44,6151.38,Main Godown,Nikhil Gupta,Sales
SAL000129,2025-07-22,CUST0003,Patel Sons,Khanpur,PRD0014,Real Fruit Juice,1L,8,PCS,66.77,95.0,5.0,722.0,86.64,4807.77,Main Godown,Amit Sharma,Sales
SAL000129,2025-07-22,CUST0003,Patel Sons,Khanpur,PRD0086,Amul Milk 1L Pouch,1L,40,PCS,55.27,68.0,0.0,2720.0,136.0,4807.77,Main Godown,Amit Sharma,Sales
SAL000129,2025-07-22,CUST0003,Patel Sons,Khanpur,PRD0043,Scotch Brite Scrub,1pc,27,PCS,22.35,35.0,3.0,916.65,110.0,4807.77,Sawai Madhopur Branch,Amit Sharma,Sales
SAL000129,2025-07-22,CUST0003,Patel Sons,Khanpur,PRD0062,Britannia 50-50 Biscuit,100g,4,PCS,18.15,26.0,0.0,104.0,12.48,4807.77,Sawai Madhopur Branch,Amit Sharma,Sales
SAL000131,2025-08-29,CUST0003,Patel Sons,Khanpur,PRD0110,Carefree Liner,20pcs,6,PCS,55.68,80.0,5.0,456.0,54.72,1041.72,Main Godown,Amit Sharma,Sales
SAL000131,2025-08-29,CUST0003,Patel Sons,Khanpur,PRD0111,Bisleri Water 1L,1L,18,PCS,12.01,20.0,0.0,360.0,64.8,1041.72,Sawai Madhopur Branch,Amit Sharma,Sales
SAL000131,2025-08-29,CUST0003,Patel Sons,Khanpur,PRD0112,Bisleri Water 500ml,500ml,6,PCS,8.01,15.0,0.0,90.0,16.2,1041.72,Sawai Madhopur Branch,Amit Sharma,Sales
SAL000143,2026-01-13,CUST0003,Patel Sons,Khanpur,PRD0076,Captain Cook Salt,1kg,42,PCS,16.25,22.0,0.0,924.0,46.2,11172.17,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000143,2026-01-13,CUST0003,Patel Sons,Khanpur,PRD0074,Fortune Sunflower Oil,1L,8,PCS,126.35,170.0,0.0,1360.0,68.0,11172.17,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000143,2026-01-13,CUST0003,Patel Sons,Khanpur,PRD0133,Mortein Insect Spray,300ml,28,PCS,142.86,215.0,0.0,6020.0,722.4,11172.17,Tonk Branch,Nikhil Gupta,Sales
SAL000143,2026-01-13,CUST0003,Patel Sons,Khanpur,PRD0119,Battery Duracell AA,2pcs,22,PCS,58.39,85.0,3.0,1813.9,217.67,11172.17,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000155,2026-05-20,CUST0003,Patel Sons,Khanpur,PRD0074,Fortune Sunflower Oil,1L,17,PCS,127.43,170.0,0.0,2890.0,144.5,16521.26,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000155,2026-05-20,CUST0003,Patel Sons,Khanpur,PRD0044,Vim Dishwash Liquid,500ml,16,PCS,86.25,128.0,0.0,2048.0,245.76,16521.26,Main Godown,Nikhil Gupta,Sales
SAL000155,2026-05-20,CUST0003,Patel Sons,Khanpur,PRD0121,Sarpan Hybrid Seeds,500g,41,PCS,186.53,260.0,0.0,10660.0,533.0,16521.26,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000158,2026-06-20,CUST0003,Patel Sons,Khanpur,PRD0036,Surf Excel Detergent,1kg,12,PCS,91.8,140.0,0.0,1680.0,201.6,4729.2,Main Godown,Nikhil Gupta,Sales
SAL000158,2026-06-20,CUST0003,Patel Sons,Khanpur,PRD0104,Pudin Hara,20ml,48,PCS,28.15,40.0,0.0,1920.0,96.0,4729.2,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000158,2026-06-20,CUST0003,Patel Sons,Khanpur,PRD0076,Captain Cook Salt,1kg,36,PCS,16.07,22.0,0.0,792.0,39.6,4729.2,Tonk Branch,Nikhil Gupta,Sales
SAL000162,2026-08-29,CUST0003,Patel Sons,Khanpur,PRD0054,Marie Gold Biscuit,250g,7,PCS,24.24,34.0,0.0,238.0,28.56,31640.51,Main Godown,Amit Sharma,Sales
SAL000162,2026-08-29,CUST0003,Patel Sons,Khanpur,PRD0030,Gillette Fusion Razor,2pcs,45,PCS,198.72,295.0,2.0,13009.5,2341.71,31640.51,Sawai Madhopur Branch,Amit Sharma,Sales
SAL000162,2026-08-29,CUST0003,Patel Sons,Khanpur,PRD0129,Nutrichoice Biscuit,100g,22,PCS,35.19,52.0,0.0,1144.0,137.28,31640.51,Tonk Branch,Amit Sharma,Sales
SAL000162,2026-08-29,CUST0003,Patel Sons,Khanpur,PRD0005,Amul Kool Milk,200ml,36,PCS,18.0,25.0,5.0,855.0,102.6,31640.51,Sawai Madhopur Branch,Amit Sharma,Sales
SAL000162,2026-08-29,CUST0003,Patel Sons,Khanpur,PRD0012,Coca Cola,750ml,53,PCS,30.22,42.0,0.0,2226.0,267.12,31640.51,Tonk Branch,Amit Sharma,Sales
SAL000162,2026-08-29,CUST0003,Patel Sons,Khanpur,PRD0102,Eno Fruit Salt,100g,31,PCS,61.16,78.0,2.0,2369.64,118.48,31640.51,Sawai Madhopur Branch,Amit Sharma,Sales
SAL000162,2026-08-29,CUST0003,Patel Sons,Khanpur,PRD0029,Gillette Mach3 Razor,2pcs,41,PCS,95.57,145.0,0.0,5945.0,1070.1,31640.51,Tonk Branch,Amit Sharma,Sales
SAL000162,2026-08-29,CUST0003,Patel Sons,Khanpur,PRD0052,Britannia Good Day,200g,42,PCS,27.08,38.0,0.0,1596.0,191.52,31640.51,Tonk Branch,Amit Sharma,Sales
SAL000164,2025-01-31,CUST0004,Kumar Departmental Store,Todaraisingh,PRD0027,Dabur Amla Hair Oil,500ml,16,PCS,68.56,100.0,0.0,1600.0,288.0,1888.0,Tonk Branch,Ravi Choudhary,Sales
SAL000167,2024-09-17,CUST0005,Kumar Supermart,Uniara,PRD0127,Jim Jam Biscuit,150g,3,PCS,22.06,32.0,0.0,96.0,11.52,7291.82,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000167,2024-09-17,CUST0005,Kumar Supermart,Uniara,PRD0008,Slice Mango Drink,600ml,25,PCS,28.42,40.0,0.0,1000.0,120.0,7291.82,Main Godown,Ramesh Kumar,Sales
SAL000167,2024-09-17,CUST0005,Kumar Supermart,Uniara,PRD0034,Vim Dishwash Bar,300g,45,PCS,18.05,28.0,2.0,1234.8,222.26,7291.82,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000167,2024-09-17,CUST0005,Kumar Supermart,Uniara,PRD0065,Bingo Mad Angles,90g,1,PCS,22.07,32.0,7.0,29.76,3.57,7291.82,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000167,2024-09-17,CUST0005,Kumar Supermart,Uniara,PRD0117,Pidilite M-Seal,50g,20,PCS,48.81,72.0,3.0,1396.8,251.42,7291.82,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000167,2024-09-17,CUST0005,Kumar Supermart,Uniara,PRD0026,Parachute Coconut Oil,500ml,23,PCS,75.49,110.0,2.0,2479.4,446.29,7291.82,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000179,2025-02-20,CUST0005,Kumar Supermart,Uniara,PRD0116,Fevicol SH Adhesive,200g,24,PCS,62.72,95.0,0.0,2280.0,273.6,2762.19,Tonk Branch,Ramesh Kumar,Sales
SAL000179,2025-02-20,CUST0005,Kumar Supermart,Uniara,PRD0067,Crax Corn Rings,30g,16,PCS,8.12,12.0,3.0,186.24,22.35,2762.19,Main Godown,Ramesh Kumar,Sales
SAL000180,2025-02-28,CUST0005,Kumar Supermart,Uniara,PRD0008,Slice Mango Drink,600ml,3,PCS,28.21,40.0,0.0,120.0,14.4,3521.6,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000180,2025-02-28,CUST0005,Kumar Supermart,Uniara,PRD0035,Pears Soap,75g,48,PCS,38.65,58.0,0.0,2784.0,501.12,3521.6,Tonk Branch,Ramesh Kumar,Sales
SAL000180,2025-02-28,CUST0005,Kumar Supermart,Uniara,PRD0109,Whisper Ultra,8pcs,1,PCS,68.13,98.0,7.0,91.14,10.94,3521.6,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000182,2025-02-06,CUST0005,Kumar Supermart,Uniara,PRD0052,Britannia Good Day,200g,34,PCS,27.47,38.0,0.0,1292.0,155.04,7076.33,Main Godown,Ramesh Kumar,Sales
SAL000182,2025-02-06,CUST0005,Kumar Supermart,Uniara,PRD0024,Clinic Plus Shampoo,175ml,25,PCS,51.38,78.0,0.0,1950.0,351.0,7076.33,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000182,2025-02-06,CUST0005,Kumar Supermart,Uniara,PRD0067,Crax Corn Rings,30g,30,PCS,8.09,12.0,5.0,342.0,41.04,7076.33,Tonk Branch,Ramesh Kumar,Sales
SAL000182,2025-02-06,CUST0005,Kumar Supermart,Uniara,PRD0083,Amul Cheese,200g,17,PCS,130.0,165.0,0.0,2805.0,140.25,7076.33,Tonk Branch,Ramesh Kumar,Sales
SAL000183,2025-02-08,CUST0005,Kumar Supermart,Uniara,PRD0127,Jim Jam Biscuit,150g,1,PCS,22.34,32.0,3.0,31.04,3.72,8101.92,Main Godown,Ramesh Kumar,Sales
SAL000183,2025-02-08,CUST0005,Kumar Supermart,Uniara,PRD0133,Mortein Insect Spray,300ml,16,PCS,142.23,215.0,2.0,3371.2,404.54,8101.92,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000183,2025-02-08,CUST0005,Kumar Supermart,Uniara,PRD0083,Amul Cheese,200g,14,PCS,129.01,165.0,0.0,2310.0,115.5,8101.92,Tonk Branch,Ramesh Kumar,Sales
SAL000183,2025-02-08,CUST0005,Kumar Supermart,Uniara,PRD0109,Whisper Ultra,8pcs,17,PCS,68.38,98.0,0.0,1666.0,199.92,8101.92,Main Godown,Ramesh Kumar,Sales
SAL000186,2025-03-24,CUST0005,Kumar Supermart,Uniara,PRD0004,Bru Gold Coffee,100g,37,PCS,176.97,250.0,3.0,8972.5,1076.7,37270.94,Main Godown,Ramesh Kumar,Sales
SAL000186,2025-03-24,CUST0005,Kumar Supermart,Uniara,PRD0088,Mother Dairy Curd,400g,49,PCS,35.11,48.0,0.0,2352.0,117.6,37270.94,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000186,2025-03-24,CUST0005,Kumar Supermart,Uniara,PRD0094,Amul Cone Ice Cream,65ml,32,PCS,22.43,32.0,0.0,1024.0,51.2,37270.94,Tonk Branch,Ramesh Kumar,Sales
SAL000186,2025-03-24,CUST0005,Kumar Supermart,Uniara,PRD0109,Whisper Ultra,8pcs,21,PCS,69.13,98.0,2.0,2016.84,242.02,37270.94,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000186,2025-03-24,CUST0005,Kumar Supermart,Uniara,PRD0046,All Out Mosquito Repellent,45ml,29,PCS,55.45,82.0,3.0,2306.66,276.8,37270.94,Main Godown,Ramesh Kumar,Sales
SAL000186,2025-03-24,CUST0005,Kumar Supermart,Uniara,PRD0082,Amul Butter,500g,55,PCS,214.69,270.0,3.0,14404.5,720.23,37270.94,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000186,2025-03-24,CUST0005,Kumar Supermart,Uniara,PRD0001,Brooke Bond Red Label Tea,250g,26,PCS,95.76,130.0,2.0,3312.4,397.49,37270.94,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000192,2025-04-03,CUST0005,Kumar Supermart,Uniara,PRD0061,Yippee Noodles,70g,55,PCS,12.05,17.0,3.0,906.95,108.83,26902.41,Main Godown,Vijay Sharma,Sales
SAL000192,2025-04-03,CUST0005,Kumar Supermart,Uniara,PRD0029,Gillette Mach3 Razor,2pcs,42,PCS,95.86,145.0,0.0,6090.0,1096.2,26902.41,Sawai Madhopur Branch,Vijay Sharma,Sales
SAL000192,2025-04-03,CUST0005,Kumar Supermart,Uniara,PRD0116,Fevicol SH Adhesive,200g,20,PCS,63.19,95.0,10.0,1710.0,205.2,26902.41,Tonk Branch,Vijay Sharma,Sales
SAL000192,2025-04-03,CUST0005,Kumar Supermart,Uniara,PRD0034,Vim Dishwash Bar,300g,2,PCS,18.03,28.0,0.0,56.0,10.08,26902.41,Tonk Branch,Vijay Sharma,Sales
SAL000192,2025-04-03,CUST0005,Kumar Supermart,Uniara,PRD0036,Surf Excel Detergent,1kg,28,PCS,92.65,140.0,0.0,3920.0,470.4,26902.41,Main Godown,Vijay Sharma,Sales
