payment_voucher_no,payment_date,customer_id,party_name,voucher_no,payment_amount,payment_mode,reference_no
PAY000202,2025-09-11,CUST0005,Kumar Supermart,SAL000186,12162.4,NEFT,REF00000202
PAY000203,2025-09-11,CUST0005,Kumar Supermart,SAL000186,25108.54,NEFT,REF00000203
PAY000212,2025-08-04,CUST0005,Kumar Supermart,SAL000192,15057.95,Cheque,REF00000212
PAY000228,2025-10-09,CUST0005,Kumar Supermart,SAL000202,426.07,UPI,REF00000228
PAY000229,2025-10-09,CUST0005,Kumar Supermart,SAL000202,846.47,NEFT,REF00000229
PAY000235,2025-09-20,CUST0005,Kumar Supermart,SAL000207,1299.86,Cheque,REF00000235
PAY000247,2026-01-13,CUST0005,Kumar Supermart,SAL000215,601.6,UPI,REF00000247
PAY000256,2025-11-07,CUST0005,Kumar Supermart,SAL000222,3498.13,UPI,REF00000256
PAY000257,2025-11-07,CUST0005,Kumar Supermart,SAL000222,3565.61,Cheque,REF00000257
PAY000258,2026-01-04,CUST0005,Kumar Supermart,SAL000223,8174.27,NEFT,REF00000258
PAY000261,2026-02-07,CUST0005,Kumar Supermart,SAL000225,5354.2,Cash,REF00000261
PAY000279,2026-02-11,CUST0005,Kumar Supermart,SAL000237,6601.21,Cash,REF00000279
PAY000280,2026-02-11,CUST0005,Kumar Supermart,SAL000237,3134.79,NEFT,REF00000280
PAY000284,2026-07-06,CUST0005,Kumar Supermart,SAL000240,2818.81,UPI,REF00000284
PAY000285,2026-07-06,CUST0005,Kumar Supermart,SAL000240,2893.46,UPI,REF00000285
PAY000304,2024-10-16,CUST0006,Lodha Brothers,SAL000270,5255.04,NEFT,REF00000304
PAY000319,2024-12-03,CUST0006,Lodha Brothers,SAL000285,35342.72,Cheque,REF00000319
PAY000331,2024-12-26,CUST0006,Lodha Brothers,SAL000297,1943.79,NEFT,REF00000331
PAY000332,2024-12-17,CUST0006,Lodha Brothers,SAL000298,15069.87,Cash,REF00000332
PAY000341,2025-01-15,CUST0006,Lodha Brothers,SAL000307,7906.36,NEFT,REF00000341
PAY000351,2025-03-06,CUST0006,Lodha Brothers,SAL000317,15144.08,UPI,REF00000351
PAY000354,2025-03-24,CUST0006,Lodha Brothers,SAL000320,5558.02,UPI,REF00000354
PAY000364,2025-05-01,CUST0006,Lodha Brothers,SAL000330,44489.12,Cheque,REF00000364
PAY000371,2025-05-07,CUST0006,Lodha Brothers,SAL000337,5911.7,UPI,REF00000371
PAY000378,2025-05-05,CUST0006,Lodha Brothers,SAL000344,13282.78,Cheque,REF00000378
PAY000382,2025-05-15,CUST0006,Lodha Brothers,SAL000348,10765.66,Cheque,REF00000382
PAY000384,2025-06-18,CUST0006,Lodha Brothers,SAL000350,8766.68,Cheque,REF00000384
PAY000391,2025-07-10,CUST0006,Lodha Brothers,SAL000357,7021.98,Cheque,REF00000391
PAY000407,2025-08-11,CUST0006,Lodha Brothers,SAL000373,4977.14,Cheque,REF00000407
PAY000408,2025-08-23,CUST0006,Lodha Brothers,SAL000374,10912.61,Cash,REF00000408
PAY000419,2025-08-22,CUST0006,Lodha Brothers,SAL000385,8765.15,Cash,REF00000419
PAY000437,2025-10-22,CUST0006,Lodha Brothers,SAL000403,13789.36,NEFT,REF00000437
PAY000440,2025-10-11,CUST0006,Lodha Brothers,SAL000406,12189.24,Cash,REF00000440
PAY000442,2025-11-12,CUST0006,Lodha Brothers,SAL000408,2877.0,Cash,REF00000442
PAY000443,2025-11-23,CUST0006,Lodha Brothers,SAL000409,5644.1,NEFT,REF00000443
PAY000454,2025-11-17,CUST0006,Lodha Brothers,SAL000420,1792.0,Cash,REF00000454
PAY000458,2025-12-14,CUST0006,Lodha Brothers,SAL000424,6902.75,NEFT,REF00000458
PAY000459,2025-12-05,CUST0006,Lodha Brothers,SAL000425,8195.11,Cash,REF00000459
PAY000472,2026-02-01,CUST0006,Lodha Brothers,SAL000438,14574.24,UPI,REF00000472
PAY000474,2026-01-31,CUST0006,Lodha Brothers,SAL000440,11321.85,NEFT,REF00000474
PAY000477,2026-02-02,CUST0006,Lodha Brothers,SAL000443,5319.39,NEFT,REF00000477
PAY000491,2026-03-13,CUST0006,Lodha Brothers,SAL000457,11975.32,NEFT,REF00000491
PAY000492,2026-03-07,CUST0006,Lodha Brothers,SAL000458,11862.14,UPI,REF00000492
PAY000494,2026-03-04,CUST0006,Lodha Brothers,SAL000460,10507.26,Cash,REF00000494
PAY000495,2026-03-11,CUST0006,Lodha Brothers,SAL000461,10982.74,Cash,REF00000495
PAY000531,2026-06-02,CUST0006,Lodha Brothers,SAL000497,24817.12,Cash,REF00000531
PAY000536,2026-05-14,CUST0006,Lodha Brothers,SAL000502,13327.16,Cash,REF00000536
PAY000540,2026-05-03,CUST0006,Lodha Brothers,SAL000506,19749.65,UPI,REF00000540
PAY000544,2026-06-20,CUST0006,Lodha Brothers,SAL000510,2643.69,Cheque,REF00000544
PAY000556,2026-07-25,CUST0006,Lodha Brothers,SAL000522,9676.88,Cheque,REF00000556
PAY000566,2026-08-04,CUST0006,Lodha Brothers,SAL000532,16425.96,NEFT,REF00000566
PAY000575,2025-04-28,CUST0007,Bohra Departmental Store,SAL000554,3674.68,UPI,REF00000575
PAY000581,2025-08-23,CUST0007,Bohra Departmental Store,SAL000560,10109.39,NEFT,REF00000581
PAY000588,2025-12-16,CUST0007,Bohra Departmental Store,SAL000567,16502.89,Cash,REF00000588
PAY000595,2026-06-15,CUST0007,Bohra Departmental Store,SAL000574,20234.25,Cash,REF00000595
PAY000617,2025-06-02,CUST0008,Kumar General Store,SAL000599,4798.15,UPI,REF00000617
PAY000618,2025-06-24,CUST0008,Kumar General Store,SAL000600,8841.7,NEFT,REF00000618
PAY000625,2025-08-26,CUST0008,Kumar General Store,SAL000607,3592.26,Cheque,REF00000625
PAY000627,2025-09-24,CUST0008,Kumar General Store,SAL000609,6368.27,NEFT,REF00000627
PAY000631,2025-10-13,CUST0008,Kumar General Store,SAL000613,7202.72,NEFT,REF00000631
PAY000632,2025-10-31,CUST0008,Kumar General Store,SAL000614,16239.8,Cash,REF00000632
PAY000648,2026-03-24,CUST0008,Kumar General Store,SAL000630,5345.69,Cheque,REF00000648
PAY000664,2026-05-19,CUST0008,Kumar General Store,SAL000646,2540.7,UPI,REF00000664
PAY000678,2025-02-02,CUST0009,Kumawat Traders,SAL000664,19925.0,Cheque,REF00000678
PAY000682,2025-03-25,CUST0009,Kumawat Traders,SAL000668,22743.25,Cash,REF00000682
PAY000688,2025-08-17,CUST0009,Kumawat Traders,SAL000674,6725.9,Cash,REF00000688
PAY000693,2025-11-03,CUST0009,Kumawat Traders,SAL000679,11062.93,UPI,REF00000693
PAY000714,2024-10-23,CUST0010,Khandelwal Kirana,SAL000701,546.0,Cheque,REF00000714
PAY000717,2024-10-14,CUST0010,Khandelwal Kirana,SAL000704,13764.77,UPI,REF00000717
PAY000718,2024-11-09,CUST0010,Khandelwal Kirana,SAL000705,13431.97,Cash,REF00000718
PAY000729,2025-01-06,CUST0010,Khandelwal Kirana,SAL000716,8739.36,Cheque,REF00000729
PAY000744,2025-02-25,CUST0010,Khandelwal Kirana,SAL000731,4733.62,Cheque,REF00000744
PAY000746,2025-02-07,CUST0010,Khandelwal Kirana,SAL000733,11884.52,UPI,REF00000746
PAY000770,2025-06-09,CUST0010,Khandelwal Kirana,SAL000757,6880.92,UPI,REF00000770
PAY000779,2025-07-21,CUST0010,Khandelwal Kirana,SAL000766,9012.08,Cash,REF00000779
PAY000780,2025-07-16,CUST0010,Khandelwal Kirana,SAL000767,3112.44,UPI,REF00000780
PAY000786,2025-07-25,CUST0010,Khandelwal Kirana,SAL000773,7547.08,NEFT,REF00000786
PAY000800,2025-09-30,CUST0010,Khandelwal Kirana,SAL000787,3818.33,Cheque,REF00000800
PAY000806,2025-09-27,CUST0010,Khandelwal Kirana,SAL000793,15714.82,NEFT,REF00000806
PAY000807,2025-09-29,CUST0010,Khandelwal Kirana,SAL000794,19495.72,Cash,REF00000807
PAY000819,2025-10-18,CUST0010,Khandelwal Kirana,SAL000806,2199.68,Cash,REF00000819
PAY000836,2025-12-04,CUST0010,Khandelwal Kirana,SAL000823,18896.66,UPI,REF00000836
PAY000839,2025-12-11,CUST0010,Khandelwal Kirana,SAL000826,15915.69,Cash,REF00000839
PAY000841,2026-01-16,CUST0010,Khandelwal Kirana,SAL000828,11775.79,Cash,REF00000841
PAY000843,2026-01-22,CUST0010,Khandelwal Kirana,SAL000830,10863.62,Cash,REF00000843
PAY000854,2026-02-26,CUST0010,Khandelwal Kirana,SAL000841,15951.25,Cheque,REF00000854
PAY000855,2026-02-15,CUST0010,Khandelwal Kirana,SAL000842,8140.44,NEFT,REF00000855
PAY000860,2026-03-13,CUST0010,Khandelwal Kirana,SAL000847,2695.83,Cheque,REF00000860
PAY000888,2026-06-23,CUST0010,Khandelwal Kirana,SAL000875,6543.04,Cash,REF00000888
PAY000897,2026-08-25,CUST0010,Khandelwal Kirana,SAL000884,10556.17,UPI,REF00000897
PAY000909,2024-11-04,CUST0011,Bansal Brothers,SAL000911,11273.85,UPI,REF00000909
PAY000913,2024-12-14,CUST0011,Bansal Brothers,SAL000915,11017.49,Cash,REF00000913
PAY000916,2024-11-27,CUST0011,Bansal Brothers,SAL000918,6170.63,NEFT,REF00000916
PAY000919,2024-11-16,CUST0011,Bansal Brothers,SAL000921,4273.6,Cheque,REF00000919
PAY000921,2025-02-07,CUST0011,Bansal Brothers,SAL000923,5144.73,Cash,REF00000921
PAY000922,2025-02-14,CUST0011,Bansal Brothers,SAL000924,28846.36,Cash,REF00000922
PAY000927,2025-04-03,CUST0011,Bansal Brothers,SAL000929,9158.67,NEFT,REF00000927
PAY000928,2025-04-06,CUST0011,Bansal Brothers,SAL000930,8759.1,Cheque,REF00000928
PAY000930,2025-04-22,CUST0011,Bansal Brothers,SAL000932,6586.86,Cheque,REF00000930
PAY000933,2025-05-04,CUST0011,Bansal Brothers,SAL000935,37848.58,NEFT,REF00000933
PAY000937,2025-06-06,CUST0011,Bansal Brothers,SAL000939,25896.37,NEFT,REF00000937
PAY000938,2025-05-15,CUST0011,Bansal Brothers,SAL000940,8014.43,Cheque,REF00000938
PAY000940,2025-06-13,CUST0011,Bansal Brothers,SAL000942,26079.77,UPI,REF00000940
PAY000947,2025-09-16,CUST0011,Bansal Brothers,SAL000949,1712.56,UPI,REF00000947
PAY000948,2025-08-31,CUST0011,Bansal Brothers,SAL000950,7768.84,Cheque,REF00000948
PAY000952,2025-10-02,CUST0011,Bansal Brothers,SAL000954,9443.0,Cash,REF00000952
PAY000954,2025-09-23,CUST0011,Bansal Brothers,SAL000956,11642.36,Cheque,REF00000954
PAY000966,2026-04-08,CUST0011,Bansal Brothers,SAL000968,3600.8,Cash,REF00000966
PAY000981,2025-01-05,CUST0012,Rajput Supermart,SAL000984,9832.18,Cheque,REF00000981
PAY000982,2025-01-05,CUST0012,Rajput Supermart,SAL000984,7852.41,UPI,REF00000982
PAY000989,2024-12-13,CUST0012,Rajput Supermart,SAL000990,19883.15,Cash,REF00000989
PAY001016,2025-04-22,CUST0012,Rajput Supermart,SAL001011,23389.45,UPI,REF00001016
PAY001018,2025-04-08,CUST0012,Rajput Supermart,SAL001013,3953.46,NEFT,REF00001018
PAY001035,2025-08-28,CUST0012,Rajput Supermart,SAL001026,3511.13,Cheque,REF00001035
PAY001057,2025-11-05,CUST0012,Rajput Supermart,SAL001042,10988.0,Cheque,REF00001057
PAY001059,2025-12-04,CUST0012,Rajput Supermart,SAL001044,1207.27,NEFT,REF00001059
PAY001062,2025-12-23,CUST0012,Rajput Supermart,SAL001047,6670.36,NEFT,REF00001062
PAY001064,2025-12-15,CUST0012,Rajput Supermart,SAL001049,11636.36,Cheque,REF00001064
PAY001065,2025-12-15,CUST0012,Rajput Supermart,SAL001049,11001.63,Cheque,REF00001065
PAY001088,2026-02-11,CUST0012,Rajput Supermart,SAL001064,12771.89,NEFT,REF00001088
PAY001103,2026-05-28,CUST0012,Rajput Supermart,SAL001074,10728.0,Cash,REF00001103
PAY001116,2026-07-21,CUST0012,Rajput Supermart,SAL001084,11843.06,UPI,REF00001116
PAY001117,2026-07-21,CUST0012,Rajput Supermart,SAL001084,15071.35,NEFT,REF00001117
PAY001137,2024-12-28,CUST0013,Garg Enterprises,SAL001114,4010.3,UPI,REF00001137
PAY001150,2025-03-27,CUST0013,Garg Enterprises,SAL001127,5829.78,NEFT,REF00001150
PAY001163,2025-05-22,CUST0013,Garg Enterprises,SAL001140,2414.88,NEFT,REF00001163
PAY001178,2025-07-08,CUST0013,Garg Enterprises,SAL001155,3640.28,Cheque,REF00001178
PAY001180,2025-07-07,CUST0013,Garg Enterprises,SAL001157,26886.97,UPI,REF00001180
PAY001181,2025-08-02,CUST0013,Garg Enterprises,SAL001158,1639.05,UPI,REF00001181
PAY001195,2025-10-21,CUST0013,Garg Enterprises,SAL001172,3569.12,Cash,REF00001195
PAY001196,2025-10-22,CUST0013,Garg Enterprises,SAL001173,12008.95,Cash,REF00001196
PAY001205,2026-01-25,CUST0013,Garg Enterprises,SAL001182,13492.85,Cheque,REF00001205
PAY001210,2026-02-21,CUST0013,Garg Enterprises,SAL001187,6717.35,Cheque,REF00001210
PAY001214,2026-03-28,CUST0013,Garg Enterprises,SAL001191,2642.7,Cheque,REF00001214
PAY001218,2026-05-02,CUST0013,Garg Enterprises,SAL001195,5496.36,UPI,REF00001218
PAY001222,2026-06-03,CUST0013,Garg Enterprises,SAL001199,9441.32,Cash,REF00001222
PAY001224,2026-05-18,CUST0013,Garg Enterprises,SAL001201,25072.66,Cheque,REF00001224
PAY001225,2026-05-13,CUST0013,Garg Enterprises,SAL001202,7366.78,UPI,REF00001225
PAY001229,2026-05-09,CUST0013,Garg Enterprises,SAL001206,13086.4,Cheque,REF00001229
PAY001230,2026-06-04,CUST0013,Garg Enterprises,SAL001207,8343.2,Cash,REF00001230
PAY001236,2026-07-11,CUST0013,Garg Enterprises,SAL001213,4707.64,Cheque,REF00001236
PAY001237,2026-07-23,CUST0013,Garg Enterprises,SAL001214,4718.42,Cash,REF00001237
PAY001243,2026-08-04,CUST0013,Garg Enterprises,SAL001221,15591.88,NEFT,REF00001243
PAY001250,2024-10-15,CUST0014,Mittal Supermart,SAL001235,10586.8,UPI,REF00001250
PAY001258,2025-01-10,CUST0014,Mittal Supermart,SAL001243,2022.28,Cheque,REF00001258
PAY001265,2025-02-08,CUST0014,Mittal Supermart,SAL001250,18291.87,NEFT,REF00001265
PAY001269,2025-04-14,CUST0014,Mittal Supermart,SAL001254,4726.82,UPI,REF00001269
PAY001274,2025-05-23,CUST0014,Mittal Supermart,SAL001259,6441.87,Cash,REF00001274
PAY001277,2025-06-27,CUST0014,Mittal Supermart,SAL001262,6357.93,UPI,REF00001277
PAY001288,2025-08-21,CUST0014,Mittal Supermart,SAL001273,8409.35,Cash,REF00001288
PAY001291,2025-09-15,CUST0014,Mittal Supermart,SAL001276,2020.2,Cash,REF00001291
PAY001300,2026-01-11,CUST0014,Mittal Supermart,SAL001285,13697.19,UPI,REF00001300
PAY001314,2026-06-23,CUST0014,Mittal Supermart,SAL001299,16826.52,Cash,REF00001314
PAY001333,2024-10-30,CUST0016,Bairwa Sons,SAL001320,18056.82,UPI,REF00001333
PAY001334,2024-10-27,CUST0016,Bairwa Sons,SAL001321,4449.3,Cheque,REF00001334
PAY001337,2024-10-30,CUST0016,Bairwa Sons,SAL001324,16134.56,Cheque,REF00001337
PAY001344,2024-11-29,CUST0016,Bairwa Sons,SAL001331,12781.78,NEFT,REF00001344
PAY001350,2024-11-26,CUST0016,Bairwa Sons,SAL001337,8680.0,NEFT,REF00001350
PAY001356,2024-11-11,CUST0016,Bairwa Sons,SAL001343,15862.21,UPI,REF00001356
PAY001367,2024-12-24,CUST0016,Bairwa Sons,SAL001354,6100.74,Cash,REF00001367
PAY001373,2025-01-05,CUST0016,Bairwa Sons,SAL001360,12924.45,NEFT,REF00001373
PAY001375,2025-01-07,CUST0016,Bairwa Sons,SAL001362,4722.9,UPI,REF00001375
PAY001377,2025-01-25,CUST0016,Bairwa Sons,SAL001364,5400.37,Cash,REF00001377
PAY001382,2025-02-09,CUST0016,Bairwa Sons,SAL001369,11867.3,Cheque,REF00001382
PAY001386,2025-02-10,CUST0016,Bairwa Sons,SAL001373,5274.72,Cash,REF00001386
PAY001388,2025-02-12,CUST0016,Bairwa Sons,SAL001375,11634.62,Cheque,REF00001388
PAY001391,2025-02-06,CUST0016,Bairwa Sons,SAL001378,15981.07,UPI,REF00001391
PAY001418,2025-05-22,CUST0016,Bairwa Sons,SAL001405,8478.05,Cash,REF00001418
PAY001427,2025-06-30,CUST0016,Bairwa Sons,SAL001414,5825.4,UPI,REF00001427
PAY001434,2025-06-05,CUST0016,Bairwa Sons,SAL001421,11026.51,NEFT,REF00001434
PAY001441,2025-07-12,CUST0016,Bairwa Sons,SAL001428,6382.46,Cash,REF00001441
PAY001452,2025-07-14,CUST0016,Bairwa Sons,SAL001439,4909.8,Cheque,REF00001452
PAY001461,2025-08-10,CUST0016,Bairwa Sons,SAL001448,1042.83,Cheque,REF00001461
PAY001463,2025-09-02,CUST0016,Bairwa Sons,SAL001450,8388.71,Cheque,REF00001463
PAY001474,2025-10-08,CUST0016,Bairwa Sons,SAL001461,1538.47,NEFT,REF00001474
PAY001482,2025-10-21,CUST0016,Bairwa Sons,SAL001469,37115.49,NEFT,REF00001482
PAY001487,2025-10-21,CUST0016,Bairwa Sons,SAL001474,3422.16,Cash,REF00001487
PAY001489,2025-10-19,CUST0016,Bairwa Sons,SAL001476,3974.6,Cheque,REF00001489
PAY001497,2025-11-19,CUST0016,Bairwa Sons,SAL001484,10240.66,UPI,REF00001497
PAY001503,2025-11-03,CUST0016,Bairwa Sons,SAL001490,12469.7,Cash,REF00001503
PAY001507,2025-11-06,CUST0016,Bairwa Sons,SAL001494,12374.6,Cash,REF00001507
PAY001515,2025-12-10,CUST0016,Bairwa Sons,SAL001502,7576.52,Cash,REF00001515
PAY001524,2026-01-06,CUST0016,Bairwa Sons,SAL001511,2956.22,UPI,REF00001524
PAY001526,2026-01-18,CUST0016,Bairwa Sons,SAL001513,10872.32,NEFT,REF00001526
PAY001529,2026-01-16,CUST0016,Bairwa Sons,SAL001516,13151.93,Cash,REF00001529
PAY001533,2026-01-31,CUST0016,Bairwa Sons,SAL001520,7865.2,NEFT,REF00001533
PAY001543,2026-02-14,CUST0016,Bairwa Sons,SAL001530,6406.68,UPI,REF00001543
PAY001567,2026-03-12,CUST0016,Bairwa Sons,SAL001554,9009.63,NEFT,REF00001567
PAY001583,2026-04-15,CUST0016,Bairwa Sons,SAL001570,3315.2,Cheque,REF00001583
PAY001593,2026-04-04,CUST0016,Bairwa Sons,SAL001580,7602.45,Cheque,REF00001593
PAY001595,2026-05-27,CUST0016,Bairwa Sons,SAL001582,8363.63,UPI,REF00001595
PAY001598,2026-05-20,CUST0016,Bairwa Sons,SAL001585,10663.35,Cheque,REF00001598
PAY001608,2026-05-23,CUST0016,Bairwa Sons,SAL001595,16098.28,Cash,REF00001608
PAY001614,2026-06-07,CUST0016,Bairwa Sons,SAL001601,4662.66,UPI,REF00001614
PAY001617,2026-06-22,CUST0016,Bairwa Sons,SAL001604,21491.53,Cash,REF00001617
PAY001623,2026-07-10,CUST0016,Bairwa Sons,SAL001610,11872.35,Cheque,REF00001623
PAY001630,2026-07-07,CUST0016,Bairwa Sons,SAL001617,5875.52,Cheque,REF00001630
PAY001644,2026-08-07,CUST0016,Bairwa Sons,SAL001631,16129.3,UPI,REF00001644
PAY001655,2025-02-14,CUST0017,Patel Supermart,SAL001661,4714.32,Cheque,REF00001655
PAY001658,2025-05-11,CUST0017,Patel Supermart,SAL001664,6743.45,UPI,REF00001658
PAY001660,2025-05-30,CUST0017,Patel Supermart,SAL001666,213.79,Cheque,REF00001660
PAY001661,2025-05-30,CUST0017,Patel Supermart,SAL001666,490.78,Cheque,REF00001661
PAY001667,2025-07-13,CUST0017,Patel Supermart,SAL001671,3609.73,NEFT,REF00001667
PAY001671,2025-08-16,CUST0017,Patel Supermart,SAL001675,1657.93,Cash,REF00001671
PAY001672,2025-08-16,CUST0017,Patel Supermart,SAL001675,2173.57,UPI,REF00001672
PAY001680,2025-10-05,CUST0017,Patel Supermart,SAL001682,3072.18,UPI,REF00001680
PAY001688,2025-12-28,CUST0017,Patel Supermart,SAL001690,5239.67,Cash,REF00001688
PAY001694,2026-04-15,CUST0017,Patel Supermart,SAL001695,2711.17,Cash,REF00001694
PAY001695,2026-04-15,CUST0017,Patel Supermart,SAL001695,1639.41,Cheque,REF00001695
PAY001705,2026-05-22,CUST0017,Patel Supermart,SAL001703,1970.45,Cash,REF00001705
PAY001718,2024-12-05,CUST0018,Garg Departmental Store,SAL001727,14689.82,Cash,REF00001718
PAY001723,2024-12-31,CUST0018,Garg Departmental Store,SAL001732,4760.49,NEFT,REF00001723
PAY001727,2025-01-27,CUST0018,Garg Departmental Store,SAL001736,5028.94,UPI,REF00001727
PAY001730,2025-01-17,CUST0018,Garg Departmental Store,SAL001739,2966.5,Cash,REF00001730
PAY001734,2025-01-08,CUST0018,Garg Departmental Store,SAL001743,10828.38,Cheque,REF00001734
PAY001739,2025-03-08,CUST0018,Garg Departmental Store,SAL001748,7585.66,Cheque,REF00001739
PAY001745,2025-03-10,CUST0018,Garg Departmental Store,SAL001754,4770.3,Cheque,REF00001745
PAY001755,2025-04-18,CUST0018,Garg Departmental Store,SAL001764,2651.96,NEFT,REF00001755
PAY001765,2025-05-15,CUST0018,Garg Departmental Store,SAL001774,5412.68,Cheque,REF00001765
PAY001766,2025-07-04,CUST0018,Garg Departmental Store,SAL001775,24743.42,NEFT,REF00001766
PAY001767,2025-06-29,CUST0018,Garg Departmental Store,SAL001776,2763.26,Cheque,REF00001767
PAY001775,2025-08-11,CUST0018,Garg Departmental Store,SAL001784,16764.39,UPI,REF00001775
PAY001776,2025-08-01,CUST0018,Garg Departmental Store,SAL001785,18296.05,NEFT,REF00001776
PAY001785,2025-08-26,CUST0018,Garg Departmental Store,SAL001794,20765.0,UPI,REF00001785
PAY001802,2025-11-18,CUST0018,Garg Departmental Store,SAL001811,19658.07,Cash,REF00001802
PAY001804,2025-11-24,CUST0018,Garg Departmental Store,SAL001813,4964.16,Cheque,REF00001804
PAY001805,2025-11-12,CUST0018,Garg Departmental Store,SAL001814,2926.4,UPI,REF00001805
PAY001806,2025-12-20,CUST0018,Garg Departmental Store,SAL001815,1652.0,UPI,REF00001806
PAY001812,2026-02-20,CUST0018,Garg Departmental Store,SAL001821,11151.0,UPI,REF00001812
PAY001816,2026-03-19,CUST0018,Garg Departmental Store,SAL001825,9358.54,UPI,REF00001816
PAY001853,2024-12-13,CUST0019,Rathi Traders,SAL001875,1798.38,UPI,REF00001853
PAY001858,2025-01-25,CUST0019,Rathi Traders,SAL001880,21067.58,Cash,REF00001858
PAY001872,2025-06-23,CUST0019,Rathi Traders,SAL001894,1902.81,Cash,REF00001872
PAY001890,2025-10-08,CUST0019,Rathi Traders,SAL001912,22451.65,NEFT,REF00001890
PAY001894,2025-12-23,CUST0019,Rathi Traders,SAL001916,5537.7,NEFT,REF00001894
PAY001899,2026-01-08,CUST0019,Rathi Traders,SAL001921,6374.7,UPI,REF00001899
PAY001901,2026-02-28,CUST0019,Rathi Traders,SAL001923,11513.26,UPI,REF00001901
PAY001912,2026-05-13,CUST0019,Rathi Traders,SAL001934,10728.14,Cheque,REF00001912
PAY001924,2026-08-09,CUST0019,Rathi Traders,SAL001946,14094.94,NEFT,REF00001924
PAY001926,2026-08-04,CUST0019,Rathi Traders,SAL001948,10508.79,Cheque,REF00001926
PAY001929,2026-08-27,CUST0019,Rathi Traders,SAL001951,1691.98,Cash,REF00001929
PAY001930,2026-08-25,CUST0019,Rathi Traders,SAL001952,10055.23,Cheque,REF00001930
PAY001933,2025-01-25,CUST0020,Kothari Traders,SAL001959,3846.16,Cheque,REF00001933
PAY001935,2025-02-05,CUST0020,Kothari Traders,SAL001961,11283.16,Cash,REF00001935
PAY001940,2025-06-06,CUST0020,Kothari Traders,SAL001966,3492.0,UPI,REF00001940
PAY001943,2025-07-20,CUST0020,Kothari Traders,SAL001969,11865.0,Cheque,REF00001943
PAY001952,2026-01-07,CUST0020,Kothari Traders,SAL001978,5350.8,UPI,REF00001952
PAY001962,2026-08-16,CUST0020,Kothari Traders,SAL001988,12354.06,Cheque,REF00001962
