scenario_id,customer_id,scenario_type,notes
SC0063,CUST0066,severely_overdue,"Outstanding=13636,MaxDaysOv=589,Partial=2,Overdue=0"
SC0064,CUST0067,severely_overdue,"Outstanding=44638,MaxDaysOv=526,Partial=3,Overdue=0"
SC0065,CUST0068,severely_overdue,"Outstanding=719,MaxDaysOv=340,Partial=1,Overdue=0"
SC0066,CUST0069,severely_overdue,"Outstanding=4377,MaxDaysOv=429,Partial=1,Overdue=0"
SC0067,CUST0070,severely_overdue,"Outstanding=31744,MaxDaysOv=668,Partial=5,Overdue=0"
SC0068,CUST0071,severely_overdue,"Outstanding=777,MaxDaysOv=693,Partial=0,Overdue=1"
SC0069,CUST0072,severely_overdue,"Outstanding=21466,MaxDaysOv=551,Partial=5,Overdue=0"
SC0070,CUST0073,severely_overdue,"Outstanding=1722,MaxDaysOv=557,Partial=1,Overdue=0"
SC0071,CUST0074,severely_overdue,"Outstanding=708,MaxDaysOv=500,Partial=1,Overdue=0"
SC0072,CUST0075,severely_overdue,"Outstanding=47308,MaxDaysOv=655,Partial=4,Overdue=2"
SC0073,CUST0076,severely_overdue,"Outstanding=14882,MaxDaysOv=612,Partial=3,Overdue=0"
SC0074,CUST0078,severely_overdue,"Outstanding=24053,MaxDaysOv=392,Partial=4,Overdue=0"
SC0075,CUST0079,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0076,CUST0080,severely_overdue,"Outstanding=2178,MaxDaysOv=375,Partial=1,Overdue=0"
SC0077,CUST0081,severely_overdue,"Outstanding=27858,MaxDaysOv=616,Partial=2,Overdue=0"
SC0078,CUST0082,severely_overdue,"Outstanding=44862,MaxDaysOv=614,Partial=6,Overdue=0"
SC0079,CUST0083,severely_overdue,"Outstanding=21781,MaxDaysOv=675,Partial=5,Overdue=0"
SC0080,CUST0084,severely_overdue,"Outstanding=9084,MaxDaysOv=477,Partial=1,Overdue=0"
SC0081,CUST0085,severely_overdue,"Outstanding=543,MaxDaysOv=535,Partial=1,Overdue=0"
SC0082,CUST0087,severely_overdue,"Outstanding=48236,MaxDaysOv=669,Partial=8,Overdue=0"
SC0083,CUST0088,severely_overdue,"Outstanding=16121,MaxDaysOv=542,Partial=1,Overdue=0"
SC0084,CUST0089,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0085,CUST0090,severely_overdue,"Outstanding=446,MaxDaysOv=581,Partial=1,Overdue=0"
SC0086,CUST0091,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0087,CUST0092,severely_overdue,"Outstanding=2260,MaxDaysOv=185,Partial=2,Overdue=0"
SC0088,CUST0093,severely_overdue,"Outstanding=792,MaxDaysOv=602,Partial=1,Overdue=0"
SC0089,CUST0094,severely_overdue,"Outstanding=31515,MaxDaysOv=499,Partial=2,Overdue=0"
SC0090,CUST0095,severely_overdue,"Outstanding=4786,MaxDaysOv=169,Partial=1,Overdue=0"
SC0091,CUST0096,severely_overdue,"Outstanding=7178,MaxDaysOv=673,Partial=1,Overdue=0"
SC0092,CUST0097,severely_overdue,"Outstanding=46340,MaxDaysOv=690,Partial=9,Overdue=0"
SC0093,CUST0098,severely_overdue,"Outstanding=1203,MaxDaysOv=636,Partial=1,Overdue=0"
SC0094,CUST0099,severely_overdue,"Outstanding=2811,MaxDaysOv=218,Partial=2,Overdue=0"
SC0095,CUST0100,severely_overdue,"Outstanding=27927,MaxDaysOv=372,Partial=3,Overdue=0"
SC0096,CUST0101,payment_link_candidate,"Outstanding=2219,MaxDaysOv=31,Partial=1,Overdue=0"
SC0097,CUST0102,severely_overdue,"Outstanding=3239,MaxDaysOv=337,Partial=2,Overdue=0"
SC0098,CUST0103,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0099,CUST0104,do_not_contact,"Outstanding=8595,MaxDaysOv=101,Partial=1,Overdue=0"
SC0100,CUST0106,severely_overdue,"Outstanding=11396,MaxDaysOv=635,Partial=4,Overdue=0"
SC0101,CUST0108,severely_overdue,"Outstanding=16394,MaxDaysOv=513,Partial=2,Overdue=0"
SC0102,CUST0109,severely_overdue,"Outstanding=257,MaxDaysOv=451,Partial=1,Overdue=0"
SC0103,CUST0110,severely_overdue,"Outstanding=43267,MaxDaysOv=688,Partial=9,Overdue=0"
SC0104,CUST0111,severely_overdue,"Outstanding=584,MaxDaysOv=553,Partial=1,Overdue=0"
SC0105,CUST0112,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0106,CUST0113,severely_overdue,"Outstanding=2947,MaxDaysOv=498,Partial=2,Overdue=0"
SC0107,CUST0114,severely_overdue,"Outstanding=33315,MaxDaysOv=672,Partial=4,Overdue=1"
SC0108,CUST0115,severely_overdue,"Outstanding=5691,MaxDaysOv=190,Partial=1,Overdue=0"
SC0109,CUST0117,severely_overdue,"Outstanding=67448,MaxDaysOv=688,Partial=4,Overdue=2"
SC0110,CUST0118,severely_overdue,"Outstanding=8642,MaxDaysOv=257,Partial=3,Overdue=0"
SC0111,CUST0119,severely_overdue,"Outstanding=2409,MaxDaysOv=372,Partial=2,Overdue=0"
SC0112,CUST0120,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0113,CUST0121,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0114,CUST0122,severely_overdue,"Outstanding=7428,MaxDaysOv=674,Partial=4,Overdue=0"
SC0115,CUST0123,severely_overdue,"Outstanding=25512,MaxDaysOv=662,Partial=2,Overdue=0"
SC0116,CUST0124,severely_overdue,"Outstanding=16574,MaxDaysOv=638,Partial=4,Overdue=0"
SC0117,CUST0125,severely_overdue,"Outstanding=11803,MaxDaysOv=262,Partial=2,Overdue=0"
SC0118,CUST0126,severely_overdue,"Outstanding=22967,MaxDaysOv=358,Partial=3,Overdue=1"
SC0119,CUST0127,severely_overdue,"Outstanding=47167,MaxDaysOv=592,Partial=7,Overdue=1"
SC0120,CUST0128,severely_overdue,"Outstanding=7286,MaxDaysOv=258,Partial=2,Overdue=0"
SC0121,CUST0129,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0122,CUST0130,severely_overdue,"Outstanding=2681,MaxDaysOv=239,Partial=1,Overdue=0"
SC0123,CUST0131,severely_overdue,"Outstanding=18567,MaxDaysOv=465,Partial=3,Overdue=0"
SC0124,CUST0132,severely_overdue,"Outstanding=41676,MaxDaysOv=604,Partial=4,Overdue=0"
SC0125,CUST0133,severely_overdue,"Outstanding=18818,MaxDaysOv=590,Partial=6,Overdue=0"
SC0126,CUST0134,severely_overdue,"Outstanding=2733,MaxDaysOv=264,Partial=1,Overdue=0"
SC0127,CUST0135,severely_overdue,"Outstanding=38090,MaxDaysOv=598,Partial=5,Overdue=0"
SC0128,CUST0136,severely_overdue,"Outstanding=5768,MaxDaysOv=519,Partial=1,Overdue=0"
SC0129,CUST0137,severely_overdue,"Outstanding=10504,MaxDaysOv=519,Partial=2,Overdue=0"
SC0130,CUST0138,severely_overdue,"Outstanding=3675,MaxDaysOv=347,Partial=2,Overdue=0"
SC0131,CUST0139,severely_overdue,"Outstanding=1362,MaxDaysOv=262,Partial=1,Overdue=0"
SC0132,CUST0140,severely_overdue,"Outstanding=9503,MaxDaysOv=598,Partial=1,Overdue=0"
SC0133,CUST0141,severely_overdue,"Outstanding=30000,MaxDaysOv=659,Partial=5,Overdue=0"
SC0134,CUST0142,small_low_risk,"Outstanding=88,MaxDaysOv=92,Partial=1,Overdue=0"
SC0135,CUST0143,recent_invoice,"Outstanding=5359,MaxDaysOv=93,Partial=1,Overdue=0"
SC0136,CUST0144,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0137,CUST0145,severely_overdue,"Outstanding=3546,MaxDaysOv=518,Partial=2,Overdue=0"
SC0138,CUST0146,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0139,CUST0147,severely_overdue,"Outstanding=22977,MaxDaysOv=423,Partial=2,Overdue=0"
SC0140,CUST0148,severely_overdue,"Outstanding=10357,MaxDaysOv=588,Partial=1,Overdue=0"
SC0141,CUST0149,severely_overdue,"Outstanding=10165,MaxDaysOv=656,Partial=1,Overdue=0"
SC0142,CUST0150,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0143,CUST0151,severely_overdue,"Outstanding=12911,MaxDaysOv=405,Partial=3,Overdue=0"
SC0144,CUST0152,severely_overdue,"Outstanding=35886,MaxDaysOv=648,Partial=7,Overdue=0"
SC0145,CUST0153,recent_invoice,"Outstanding=3547,MaxDaysOv=87,Partial=1,Overdue=0"
SC0146,CUST0154,severely_overdue,"Outstanding=46191,MaxDaysOv=693,Partial=5,Overdue=0"
SC0147,CUST0155,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0148,CUST0156,severely_overdue,"Outstanding=147,MaxDaysOv=362,Partial=1,Overdue=0"
SC0149,CUST0157,recent_invoice,"Outstanding=16762,MaxDaysOv=96,Partial=2,Overdue=0"
SC0150,CUST0158,severely_overdue,"Outstanding=6509,MaxDaysOv=493,Partial=1,Overdue=0"
SC0151,CUST0159,severely_overdue,"Outstanding=3382,MaxDaysOv=455,Partial=1,Overdue=0"
SC0152,CUST0160,severely_overdue,"Outstanding=7515,MaxDaysOv=519,Partial=5,Overdue=0"
SC0153,CUST0161,severely_overdue,"Outstanding=3933,MaxDaysOv=443,Partial=1,Overdue=0"
SC0154,CUST0162,severely_overdue,"Outstanding=6245,MaxDaysOv=156,Partial=1,Overdue=0"
SC0155,CUST0163,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0156,CUST0164,severely_overdue,"Outstanding=11908,MaxDaysOv=673,Partial=2,Overdue=0"
SC0157,CUST0165,severely_overdue,"Outstanding=19094,MaxDaysOv=642,Partial=2,Overdue=1"
SC0158,CUST0166,severely_overdue,"Outstanding=3786,MaxDaysOv=698,Partial=3,Overdue=0"
SC0159,CUST0167,severely_overdue,"Outstanding=70891,MaxDaysOv=436,Partial=5,Overdue=0"
SC0160,CUST0169,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0161,CUST0170,payment_link_candidate,"Outstanding=7299,MaxDaysOv=71,Partial=1,Overdue=0"
SC0162,CUST0171,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0163,CUST0172,severely_overdue,"Outstanding=2190,MaxDaysOv=654,Partial=0,Overdue=1"
SC0164,CUST0173,severely_overdue,"Outstanding=1275,MaxDaysOv=351,Partial=1,Overdue=0"
SC0165,CUST0174,severely_overdue,"Outstanding=11225,MaxDaysOv=415,Partial=2,Overdue=0"
SC0166,CUST0175,do_not_contact,"Outstanding=181,MaxDaysOv=0,Partial=0,Overdue=0"
SC0167,CUST0176,severely_overdue,"Outstanding=1155,MaxDaysOv=374,Partial=1,Overdue=0"
SC0168,CUST0177,severely_overdue,"Outstanding=17109,MaxDaysOv=488,Partial=4,Overdue=0"
SC0169,CUST0178,severely_overdue,"Outstanding=3232,MaxDaysOv=695,Partial=4,Overdue=0"
SC0170,CUST0179,severely_overdue,"Outstanding=13237,MaxDaysOv=698,Partial=3,Overdue=0"
SC0171,CUST0180,severely_overdue,"Outstanding=13091,MaxDaysOv=249,Partial=2,Overdue=0"
SC0172,CUST0181,severely_overdue,"Outstanding=24851,MaxDaysOv=677,Partial=5,Overdue=0"
SC0173,CUST0182,severely_overdue,"Outstanding=24777,MaxDaysOv=484,Partial=3,Overdue=0"
SC0174,CUST0183,severely_overdue,"Outstanding=40264,MaxDaysOv=698,Partial=4,Overdue=0"
SC0175,CUST0184,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0176,CUST0185,payment_link_candidate,"Outstanding=9650,MaxDaysOv=3,Partial=0,Overdue=1"
SC0177,CUST0186,severely_overdue,"Outstanding=2164,MaxDaysOv=211,Partial=1,Overdue=0"
SC0178,CUST0187,severely_overdue,"Outstanding=3103,MaxDaysOv=436,Partial=3,Overdue=0"
SC0179,CUST0188,severely_overdue,"Outstanding=2659,MaxDaysOv=219,Partial=1,Overdue=0"
SC0180,CUST0189,severely_overdue,"Outstanding=41454,MaxDaysOv=649,Partial=11,Overdue=0"
SC0181,CUST0190,severely_overdue,"Outstanding=2269,MaxDaysOv=686,Partial=1,Overdue=0"
SC0182,CUST0191,severely_overdue,"Outstanding=3249,MaxDaysOv=508,Partial=2,Overdue=0"
SC0183,CUST0192,payment_link_candidate,"Outstanding=6776,MaxDaysOv=69,Partial=1,Overdue=0"
SC0184,CUST0193,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0185,CUST0194,severely_overdue,"Outstanding=10495,MaxDaysOv=502,Partial=3,Overdue=0"
SC0186,CUST0195,payment_link_candidate,"Outstanding=4106,MaxDaysOv=89,Partial=1,Overdue=0"
SC0187,CUST0196,do_not_contact,"Outstanding=5648,MaxDaysOv=0,Partial=0,Overdue=0"
SC0188,CUST0197,severely_overdue,"Outstanding=23531,MaxDaysOv=665,Partial=4,Overdue=0"
SC0189,CUST0198,severely_overdue,"Outstanding=6180,MaxDaysOv=127,Partial=3,Overdue=0"
SC0190,CUST0199,severely_overdue,"Outstanding=13211,MaxDaysOv=644,Partial=3,Overdue=0"
SC0191,CUST0200,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0192,CUST0201,severely_overdue,"Outstanding=15898,MaxDaysOv=528,Partial=3,Overdue=0"
SC0193,CUST0202,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0194,CUST0203,severely_overdue,"Outstanding=311,MaxDaysOv=225,Partial=1,Overdue=0"
SC0195,CUST0204,severely_overdue,"Outstanding=2117,MaxDaysOv=274,Partial=1,Overdue=0"
SC0196,CUST0206,severely_overdue,"Outstanding=6473,MaxDaysOv=407,Partial=1,Overdue=0"
SC0197,CUST0207,recent_invoice,"Outstanding=6840,MaxDaysOv=39,Partial=1,Overdue=0"
SC0198,CUST0208,severely_overdue,"Outstanding=35653,MaxDaysOv=394,Partial=2,Overdue=0"
SC0199,CUST0209,severely_overdue,"Outstanding=2471,MaxDaysOv=492,Partial=1,Overdue=0"
SC0200,CUST0210,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0201,CUST0211,severely_overdue,"Outstanding=42469,MaxDaysOv=582,Partial=9,Overdue=0"
SC0202,CUST0212,severely_overdue,"Outstanding=3773,MaxDaysOv=430,Partial=1,Overdue=0"
SC0203,CUST0213,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0204,CUST0214,severely_overdue,"Outstanding=30357,MaxDaysOv=670,Partial=8,Overdue=0"
SC0205,CUST0216,payment_link_candidate,"Outstanding=16084,MaxDaysOv=35,Partial=1,Overdue=0"
SC0206,CUST0217,severely_overdue,"Outstanding=3530,MaxDaysOv=611,Partial=1,Overdue=0"
SC0207,CUST0218,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0208,CUST0219,severely_overdue,"Outstanding=29006,MaxDaysOv=606,Partial=5,Overdue=0"
SC0209,CUST0220,severely_overdue,"Outstanding=3634,MaxDaysOv=202,Partial=1,Overdue=0"
SC0210,CUST0221,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0211,CUST0222,do_not_contact,"Outstanding=685,MaxDaysOv=0,Partial=0,Overdue=0"
SC0212,CUST0223,severely_overdue,"Outstanding=9617,MaxDaysOv=386,Partial=2,Overdue=0"
SC0213,CUST0224,severely_overdue,"Outstanding=9908,MaxDaysOv=632,Partial=4,Overdue=0"
SC0214,CUST0225,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0215,CUST0226,severely_overdue,"Outstanding=881,MaxDaysOv=591,Partial=1,Overdue=0"
SC0216,CUST0227,severely_overdue,"Outstanding=15929,MaxDaysOv=533,Partial=1,Overdue=0"
SC0217,CUST0228,severely_overdue,"Outstanding=4439,MaxDaysOv=424,Partial=2,Overdue=0"
SC0218,CUST0229,severely_overdue,"Outstanding=27321,MaxDaysOv=409,Partial=3,Overdue=0"
SC0219,CUST0230,severely_overdue,"Outstanding=11769,MaxDaysOv=618,Partial=3,Overdue=0"
SC0220,CUST0231,severely_overdue,"Outstanding=43054,MaxDaysOv=648,Partial=6,Overdue=3"
SC0221,CUST0232,severely_overdue,"Outstanding=45239,MaxDaysOv=654,Partial=5,Overdue=2"
SC0222,CUST0233,severely_overdue,"Outstanding=23637,MaxDaysOv=602,Partial=5,Overdue=0"
SC0223,CUST0234,severely_overdue,"Outstanding=7084,MaxDaysOv=389,Partial=1,Overdue=0"
SC0224,CUST0235,severely_overdue,"Outstanding=12257,MaxDaysOv=595,Partial=2,Overdue=0"
SC0225,CUST0236,severely_overdue,"Outstanding=288,MaxDaysOv=530,Partial=1,Overdue=0"
SC0226,CUST0237,severely_overdue,"Outstanding=7587,MaxDaysOv=613,Partial=3,Overdue=0"
SC0227,CUST0238,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0228,CUST0239,severely_overdue,"Outstanding=5501,MaxDaysOv=417,Partial=1,Overdue=0"
SC0229,CUST0240,severely_overdue,"Outstanding=3038,MaxDaysOv=603,Partial=2,Overdue=0"
SC0230,CUST0241,severely_overdue,"Outstanding=16163,MaxDaysOv=511,Partial=3,Overdue=0"
SC0231,CUST0242,severely_overdue,"Outstanding=22221,MaxDaysOv=518,Partial=3,Overdue=0"
SC0232,CUST0243,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0233,CUST0244,severely_overdue,"Outstanding=13801,MaxDaysOv=423,Partial=2,Overdue=0"
SC0234,CUST0245,severely_overdue,"Outstanding=52471,MaxDaysOv=600,Partial=5,Overdue=1"
SC0235,CUST0247,severely_overdue,"Outstanding=31020,MaxDaysOv=534,Partial=3,Overdue=0"
SC0236,CUST0248,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0237,CUST0249,severely_overdue,"Outstanding=30242,MaxDaysOv=697,Partial=5,Overdue=0"
SC0238,CUST0250,severely_overdue,"Outstanding=23089,MaxDaysOv=541,Partial=4,Overdue=0"
SC0239,CUST0252,severely_overdue,"Outstanding=1012,MaxDaysOv=682,Partial=1,Overdue=0"
SC0240,CUST0253,recent_invoice,"Outstanding=546,MaxDaysOv=10,Partial=1,Overdue=0"
SC0241,CUST0254,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0242,CUST0255,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0243,CUST0256,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0244,CUST0257,severely_overdue,"Outstanding=6321,MaxDaysOv=540,Partial=2,Overdue=0"
SC0245,CUST0258,severely_overdue,"Outstanding=5367,MaxDaysOv=493,Partial=2,Overdue=0"
SC0246,CUST0259,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0247,CUST0260,severely_overdue,"Outstanding=18945,MaxDaysOv=630,Partial=4,Overdue=0"
SC0248,CUST0261,severely_overdue,"Outstanding=987,MaxDaysOv=416,Partial=1,Overdue=0"
SC0249,CUST0262,severely_overdue,"Outstanding=8898,MaxDaysOv=340,Partial=3,Overdue=0"
SC0250,CUST0263,severely_overdue,"Outstanding=47648,MaxDaysOv=674,Partial=4,Overdue=1"
SC0251,CUST0264,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0252,CUST0265,severely_overdue,"Outstanding=38921,MaxDaysOv=504,Partial=5,Overdue=0"
SC0253,CUST0266,severely_overdue,"Outstanding=11632,MaxDaysOv=535,Partial=2,Overdue=0"
SC0254,CUST0267,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0255,CUST0268,small_low_risk,"Outstanding=30,MaxDaysOv=603,Partial=1,Overdue=0"
SC0256,CUST0269,severely_overdue,"Outstanding=26084,MaxDaysOv=141,Partial=1,Overdue=0"
SC0257,CUST0270,severely_overdue,"Outstanding=14710,MaxDaysOv=542,Partial=2,Overdue=0"
SC0258,CUST0271,severely_overdue,"Outstanding=4345,MaxDaysOv=554,Partial=1,Overdue=0"
SC0259,CUST0272,severely_overdue,"Outstanding=11392,MaxDaysOv=591,Partial=2,Overdue=0"
SC0260,CUST0273,severely_overdue,"Outstanding=5797,MaxDaysOv=646,Partial=1,Overdue=0"
SC0261,CUST0274,severely_overdue,"Outstanding=5787,MaxDaysOv=549,Partial=2,Overdue=0"
SC0262,CUST0275,severely_overdue,"Outstanding=87481,MaxDaysOv=656,Partial=13,Overdue=0"
SC0263,CUST0276,severely_overdue,"Outstanding=12341,MaxDaysOv=425,Partial=2,Overdue=0"
SC0264,CUST0277,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
