po_number,date,supplier_name,product_name,size_variant,quantity,landing_cost,invoice_value
PO05031,2023-01-05,Local Supplier,Paperboat Drinks,250ml,56,224.57,12575.92
PO05032,2023-01-05,Local Supplier,Rupa Underwear,L,25,163.03,4075.75
PO05033,2023-01-05,Local Supplier,Syska LED Strip,5m,64,245.11,15687.04
PO05034,2023-01-05,Local Supplier,Lifebuoy Soap,75g,87,166.49,14484.63
PO05035,2023-01-05,Local Supplier,Colgate Toothpaste,200g,76,108.62,8255.12
PO05036,2023-01-05,Local Supplier,Classmate Notebook,200 pages,74,32.51,2405.74
PO05037,2023-01-05,Amul Cooperative Jaipur,Amul Ghee,500ml,18,449.85,8097.3
PO05038,2023-01-05,Local Supplier,Jockey Vest,L,71,151.1,10728.1
PO05039,2023-01-05,Local Supplier,Bournvita,1kg,61,156.87,9569.07
PO05040,2023-01-05,Local Supplier,Dove Shampoo,200ml,32,303.37,9707.84
PO05041,2023-01-05,Local Supplier,MDH Haldi Powder,250g,11,364.06,4004.66
PO05042,2023-01-05,Local Supplier,Garbage Bags,50 pcs,12,30.96,371.52
PO05043,2023-01-05,Local Supplier,Yakult Probiotic,5 bottles,72,143.02,10297.44
PO05044,2023-01-05,Local Supplier,Fortune Sunflower Oil,1L,18,290.53,5229.54
PO05045,2023-01-05,Local Supplier,MDH Red Chilli Powder,250g,47,123.87,5821.89
PO05046,2023-01-05,Local Supplier,Anchor Switchboard,6 switch,93,287.76,26761.68
PO05047,2023-01-05,Local Supplier,Saffola Gold Oil,5L,65,237.4,15431.0
PO05048,2023-01-05,Local Supplier,Bajaj LED Bulb 9W,4 pcs,85,199.2,16932.0
PO05049,2023-01-05,Amul Cooperative Jaipur,Amul Butter,100g,17,345.92,5880.64
PO05050,2023-01-10,Local Supplier,Rupa Underwear,S,10,180.63,1806.3
PO05051,2023-01-10,Local Supplier,Anchor Switchboard,4 switch,63,313.87,19773.81
PO05052,2023-01-10,Local Supplier,Scotch Brite Scrub,3 pc,18,80.07,1441.26
PO05053,2023-01-10,Local Supplier,MDH Red Chilli Powder,500g,48,262.85,12616.8
PO05054,2023-01-10,Local Supplier,Classmate Notebook,200 pages,36,32.82,1181.52
PO05055,2023-01-10,Local Supplier,MDH Haldi Powder,100g,16,360.11,5761.76
PO05056,2023-01-10,Nestle C&F Jaipur,Nescafe Classic Coffee,100g,68,276.93,18831.24
PO05057,2023-01-10,Local Supplier,VIP Socks,4 pairs,32,181.16,5797.12
PO05058,2023-01-10,Local Supplier,Rupa Underwear,XL,74,116.24,8601.76
PO05059,2023-01-10,ITC Regional Depot,Kurkure,100g,93,41.5,3859.5
PO05060,2023-01-10,ITC Regional Depot,Fevicol Glue,50ml,40,20.05,802.0
PO05061,2023-01-10,Local Supplier,Harpic Toilet Cleaner,1L,45,146.59,6596.55
PO05062,2023-01-10,Local Supplier,Red Label Tea,250g,21,304.1,6386.1
PO05063,2023-01-10,Amul Cooperative Jaipur,Amul Ghee,500ml,60,458.51,27510.6
PO05064,2023-01-10,Local Supplier,Reynolds Pen,20 pcs,57,39.7,2262.9
PO05065,2023-01-10,Local Supplier,Pepsodent Toothpaste,70g,100,137.3,13730.0
PO05066,2023-01-10,Local Supplier,Yakult Probiotic,5 bottles,30,146.88,4406.4
PO05067,2023-01-10,Local Supplier,Rin Bar,100g,26,112.74,2931.24
PO05068,2023-01-10,Britannia Jaipur Hub,Good Day Cookies,75g,85,107.83,9165.55
PO05069,2023-01-10,Local Supplier,Rupa Underwear,M,39,56.97,2221.83
PO05070,2023-01-10,Local Supplier,Horlicks,200g,16,127.18,2034.88
PO05071,2023-01-12,ITC Regional Depot,Fevicol Glue,100ml,39,98.92,3857.88
PO05072,2023-01-12,Britannia Jaipur Hub,Bourbon Biscuits,200g,23,77.64,1785.72
PO05073,2023-01-12,Local Supplier,Red Label Tea,500g,75,262.67,19700.25
PO05074,2023-01-12,Local Supplier,Mother Dairy Paneer,200g,65,226.15,14699.75
PO05075,2023-01-12,Local Supplier,MDH Haldi Powder,500g,28,183.65,5142.2
PO05076,2023-01-12,Local Supplier,Dove Shampoo,200ml,74,298.38,22080.12
PO05077,2023-01-12,Local Supplier,Scotch Brite Scrub,2 pc,26,164.81,4285.06
PO05078,2023-01-12,Local Supplier,Pepsodent Toothpaste,300g,24,164.03,3936.72
PO05079,2023-01-12,Local Supplier,Odonil Air Freshener,75g,12,132.92,1595.04
PO05080,2023-01-12,Local Supplier,Philips LED Bulb 12W,1 pc,85,202.9,17246.5
PO05081,2023-01-12,Local Supplier,Tang Powder,100g,76,145.8,11080.8
PO05082,2023-01-12,ITC Regional Depot,Sunfeast Dark Fantasy,75g,34,99.13,3370.42
PO05083,2023-01-12,Local Supplier,Candle Pack,24 pcs,18,120.63,2171.34
PO05084,2023-01-12,Local Supplier,Red Label Tea,1kg,54,247.43,13361.22
PO05085,2023-01-12,Local Supplier,Saffola Gold Oil,1L,33,97.05,3202.65
PO05086,2023-01-12,Local Supplier,Pantene Shampoo,370ml,41,273.77,11224.57
PO05087,2023-01-12,Amul Cooperative Jaipur,Amul Butter,500g,46,39.46,1815.16
PO05088,2023-01-12,Local Supplier,Anchor Switchboard,6 switch,76,294.89,22411.64
PO05089,2023-01-17,ITC Regional Depot,Lays Chips,73g,48,83.88,4026.24
PO05090,2023-01-17,Local Supplier,Rupa Underwear,S,89,174.59,15538.51
PO05091,2023-01-17,Amul Cooperative Jaipur,Amul Butter,500g,87,40.4,3514.8
PO05092,2023-01-17,Local Supplier,Dove Shampoo,200ml,78,295.13,23020.14
PO05093,2023-01-17,Local Supplier,Jockey Vest,S,37,195.49,7233.13
PO05094,2023-01-17,Britannia Jaipur Hub,Britannia Cheese Spread,180g,25,157.43,3935.75
PO05095,2023-01-17,Local Supplier,Bournvita,1kg,29,163.71,4747.59
PO05096,2023-01-17,Local Supplier,Wheel Detergent Powder,1kg,26,75.77,1970.02
PO05097,2023-01-17,Local Supplier,Tissue Box,100 sheets,30,22.29,668.7
PO05098,2023-01-17,Haldiram Distributors,Haldiram Namkeen,1kg,38,75.07,2852.66
PO05099,2023-01-17,Local Supplier,Surf Excel Detergent,2kg,100,130.82,13082.0
PO05100,2023-01-17,Local Supplier,Tata Tea Premium,1kg,68,120.61,8201.48
PO05101,2023-01-17,Britannia Jaipur Hub,Hide & Seek,75g,21,51.3,1077.3
PO05102,2023-01-17,Local Supplier,Parachute Coconut Oil,500ml,77,161.92,12467.84
PO05103,2023-01-17,Nestle C&F Jaipur,Nescafe Classic Coffee,200g,57,298.88,17036.16
PO05104,2023-01-17,Local Supplier,Pepsodent Toothpaste,300g,46,163.34,7513.64
PO05105,2023-01-17,Local Supplier,Harpic Toilet Cleaner,500ml,13,82.12,1067.56
PO05106,2023-01-17,Local Supplier,Jockey Vest,M,52,244.83,12731.16
PO05107,2023-01-17,Nestle C&F Jaipur,Nescafe Classic Coffee,50g,72,308.05,22179.6
PO05108,2023-01-17,Local Supplier,Scotch Tape,1 roll,34,12.83,436.22
PO05109,2023-01-17,Local Supplier,Scotch Tape,3 rolls,24,109.54,2628.96
PO05110,2023-01-17,Local Supplier,Lizol Floor Cleaner,500ml,63,113.83,7171.29
PO05111,2023-01-17,Local Supplier,Godrej Hit Cockroach Spray,400ml,89,187.12,16653.68
PO05112,2023-01-17,Local Supplier,Red Label Tea,500g,71,259.3,18410.3
PO05113,2023-01-17,Local Supplier,Odonil Air Freshener,75g,30,132.54,3976.2
PO05114,2023-01-17,ITC Regional Depot,Sunfeast Dark Fantasy,75g,48,100.2,4809.6
PO05115,2023-01-17,Local Supplier,Scotch Brite Scrub,2 pc,25,166.7,4167.5
PO05116,2023-01-17,Britannia Jaipur Hub,Bourbon Biscuits,200g,23,77.59,1784.57
PO05117,2023-01-17,Local Supplier,Dettol Handwash,500ml,70,151.09,10576.3
PO05118,2023-01-17,Local Supplier,Jockey Vest,L,70,153.71,10759.7
PO05119,2023-01-17,Local Supplier,Pantene Shampoo,370ml,68,276.13,18776.84
PO05120,2023-01-19,Local Supplier,Extension Board 4-pin,1.5m,73,201.33,14697.09
PO05121,2023-01-19,Amul Cooperative Jaipur,Amul Ghee,1L,36,491.6,17697.6
PO05122,2023-01-19,Local Supplier,Anchor Switchboard,4 switch,11,310.19,3412.09
PO05123,2023-01-19,Local Supplier,Harpic Toilet Cleaner,500ml,50,78.22,3911.0
PO05124,2023-01-19,Local Supplier,Scotch Brite Scrub,2 pc,48,168.37,8081.76
PO05125,2023-01-19,Britannia Jaipur Hub,Britannia Cheese Spread,180g,87,158.66,13803.42
PO05126,2023-01-19,Local Supplier,Horlicks,500g,73,198.03,14456.19
PO05127,2023-01-19,Nestle C&F Jaipur,Nestle Milkmaid,1kg,39,121.15,4724.85
PO05128,2023-01-19,Britannia Jaipur Hub,Good Day Cookies,150g,68,63.18,4296.24
PO05129,2023-01-19,Local Supplier,Parachute Coconut Oil,500ml,60,156.49,9389.4
PO05130,2023-01-19,Local Supplier,Fair & Lovely Cream,100g,98,124.2,12171.6
PO05131,2023-01-19,Local Supplier,Colgate Toothpaste,100g,54,44.55,2405.7
PO05132,2023-01-19,Local Supplier,Jockey Vest,L,28,147.72,4136.16
PO05133,2023-01-19,Haldiram Distributors,Haldiram Namkeen,200g,45,37.71,1696.95
PO05134,2023-01-19,Local Supplier,Tata Tea Premium,250g,70,297.59,20831.3
PO05135,2023-01-19,Local Supplier,Syska LED Strip,1m,25,228.32,5708.0
PO05136,2023-01-19,Local Supplier,Godrej Hit Cockroach Spray,400ml,30,178.14,5344.2
PO05137,2023-01-19,ITC Regional Depot,Fevicol Glue,100ml,85,95.37,8106.45
PO05138,2023-01-19,Dabur Tonk Depot,Real Fruit Juice,2L,19,194.91,3703.29
PO05139,2023-01-19,Local Supplier,Vim Dish Wash,1L,91,110.58,10062.78
PO05140,2023-01-19,Local Supplier,Tata Salt,1kg,63,296.61,18686.43
PO05141,2023-01-19,Local Supplier,Scotch Brite Scrub,1 pc,15,68.84,1032.6
PO05142,2023-01-19,Local Supplier,Candle Pack,12 pcs,22,162.14,3567.08
PO05143,2023-01-19,Local Supplier,Jockey Vest,S,54,203.46,10986.84
PO05144,2023-01-19,Local Supplier,MDH Haldi Powder,500g,75,189.13,14184.75
PO05145,2023-01-19,Local Supplier,Classmate Notebook,200 pages,49,32.72,1603.28
PO05146,2023-01-19,Local Supplier,Patanjali Kesh Kanti,200ml,16,200.85,3213.6
PO05147,2023-01-19,Local Supplier,Bournvita,1kg,72,157.4,11332.8
PO05148,2023-01-19,Local Supplier,Colgate Toothpaste,200g,75,113.3,8497.5
PO05149,2023-01-19,Britannia Jaipur Hub,Monaco Crackers,80g,55,97.9,5384.5
PO05150,2023-01-19,Local Supplier,Dove Shampoo,400ml,100,121.05,12105.0
PO05151,2023-01-24,Local Supplier,Anchor Switchboard,6 switch,65,295.35,19197.75
PO05152,2023-01-24,Dabur Tonk Depot,Rooh Afza,300ml,14,282.03,3948.42
PO05153,2023-01-24,Local Supplier,Patanjali Kesh Kanti,450ml,73,299.14,21837.22
PO05154,2023-01-24,Britannia Jaipur Hub,Britannia Cheese Spread,180g,83,157.96,13110.68
PO05155,2023-01-24,Local Supplier,Nivea Body Lotion,400ml,73,131.66,9611.18
PO05156,2023-01-24,Local Supplier,Lizol Floor Cleaner,2L,26,22.22,577.72
PO05157,2023-01-24,Local Supplier,Scotch Brite Scrub,3 pc,38,77.43,2942.34
PO05158,2023-01-24,Local Supplier,Jockey Vest,L,58,154.08,8936.64
PO05159,2023-01-24,Local Supplier,Good Knight Mosquito Coil,10 pcs,43,171.52,7375.36
PO05160,2023-01-24,Local Supplier,Pepsodent Toothpaste,150g,10,143.94,1439.4
PO05161,2023-01-24,Local Supplier,Saffola Gold Oil,1L,83,93.67,7774.61
PO05162,2023-01-24,Local Supplier,Lux Soap,75g,92,124.49,11453.08
PO05163,2023-01-24,Britannia Jaipur Hub,Britannia Biscuits,100g,79,33.31,2631.49
PO05164,2023-01-24,Local Supplier,Wheel Detergent Powder,500g,47,69.74,3277.78
PO05165,2023-01-24,Local Supplier,Bournvita,500g,72,220.65,15886.8
PO05166,2023-01-24,Local Supplier,Lifebuoy Soap,150g,13,124.23,1614.99
PO05167,2023-01-24,Local Supplier,Paperboat Drinks,250ml,98,218.81,21443.38
PO05168,2023-01-24,Local Supplier,Surf Excel Detergent,500g,23,122.83,2825.09
PO05169,2023-01-24,Local Supplier,Dove Shampoo,200ml,44,291.81,12839.64
PO05170,2023-01-24,Local Supplier,Extension Board 4-pin,3m,62,151.45,9389.9
PO05171,2023-01-24,Local Supplier,Natraj Pencil Box,20 pcs,41,28.44,1166.04
PO05172,2023-01-24,Local Supplier,Tata Tea Premium,250g,63,304.08,19157.04
PO05173,2023-01-24,Local Supplier,Everest Sabji Masala,50g,30,223.99,6719.7
PO05174,2023-01-24,Local Supplier,Fair & Lovely Cream,25g,11,74.41,818.51
PO05175,2023-01-24,Britannia Jaipur Hub,Bourbon Biscuits,80g,19,22.16,421.04
PO05176,2023-01-24,Local Supplier,Handkerchief Pack,12 pcs,56,240.12,13446.72
PO05177,2023-01-24,Local Supplier,Scotch Brite Scrub,2 pc,86,161.29,13870.94
PO05178,2023-01-24,Local Supplier,Reynolds Pen,10 pcs,23,38.26,879.98
PO05179,2023-01-24,Local Supplier,Clinic Plus Shampoo,350ml,89,156.54,13932.06
PO05180,2023-01-24,Local Supplier,Rin Bar,200g,41,68.65,2814.65
PO05181,2023-01-24,Local Supplier,MDH Red Chilli Powder,500g,81,255.39,20686.59
PO05182,2023-01-24,Nestle C&F Jaipur,Nescafe Classic Coffee,50g,69,311.65,21503.85
PO05183,2023-01-24,Local Supplier,Good Knight Mosquito Coil,20 pcs,43,88.77,3817.11
PO05184,2023-01-24,Local Supplier,Red Label Tea,250g,88,295.59,26011.92
PO05185,2023-01-26,Local Supplier,Fortune Sunflower Oil,1L,70,287.39,20117.3
PO05186,2023-01-26,Local Supplier,Jockey Vest,M,56,241.66,13532.96
PO05187,2023-01-26,Local Supplier,Limca Syrup,750ml,19,167.0,3173.0
PO05188,2023-01-26,Local Supplier,Godrej Hit Cockroach Spray,400ml,25,184.9,4622.5
PO05189,2023-01-26,Local Supplier,Dettol Handwash,200ml,47,130.58,6137.26
PO05190,2023-01-26,Local Supplier,Odonil Air Freshener,150g,18,220.23,3964.14
PO05191,2023-01-26,Local Supplier,Saffola Gold Oil,5L,37,238.73,8833.01
PO05192,2023-01-26,Dabur Tonk Depot,Real Fruit Juice,1L,98,69.38,6799.24
PO05193,2023-01-26,ITC Regional Depot,Kurkure,100g,77,42.64,3283.28
PO05194,2023-01-26,Local Supplier,Mother Dairy Paneer,200g,78,216.98,16924.44
PO05195,2023-01-26,Local Supplier,Lifebuoy Soap,150g,69,121.46,8380.74
PO05196,2023-01-26,Local Supplier,Reynolds Pen,20 pcs,15,40.36,605.4
PO05197,2023-01-26,Local Supplier,Tissue Box,200 sheets,42,229.17,9625.14
PO05198,2023-01-26,Local Supplier,Handkerchief Pack,6 pcs,80,56.15,4492.0
PO05199,2023-01-26,Local Supplier,Syska LED Strip,1m,80,225.95,18076.0
PO05200,2023-01-26,Local Supplier,Tang Powder,100g,80,149.27,11941.6
PO05201,2023-01-26,Local Supplier,All Out Liquid Refill,45ml,100,81.74,8174.0
PO05202,2023-01-26,Local Supplier,Everest Sabji Masala,100g,72,254.54,18326.88
PO05203,2023-01-26,Local Supplier,Godrej Hit Cockroach Spray,200ml,72,86.73,6244.56
PO05204,2023-01-26,Local Supplier,Red Label Tea,500g,85,273.49,23246.65
PO05205,2023-01-26,Haldiram Distributors,Haldiram Namkeen,400g,79,158.63,12531.77
PO05206,2023-01-26,Local Supplier,Tang Powder,500g,33,102.4,3379.2
PO05207,2023-01-26,Local Supplier,Patanjali Kesh Kanti,450ml,97,309.41,30012.77
PO05208,2023-01-26,Local Supplier,MDH Red Chilli Powder,500g,97,251.58,24403.26
PO05209,2023-01-26,Local Supplier,Wheel Detergent Powder,500g,98,67.82,6646.36
PO05210,2023-01-26,Local Supplier,Mother Dairy Paneer,500g,70,599.59,41971.3
PO05211,2023-01-26,Local Supplier,Paperboat Drinks,200ml,62,269.38,16701.56
PO05212,2023-01-26,Local Supplier,Dove Shampoo,200ml,22,300.54,6611.88
PO05213,2023-01-26,Local Supplier,Clinic Plus Shampoo,175ml,80,219.62,17569.6
PO05214,2023-01-26,Britannia Jaipur Hub,Good Day Cookies,75g,35,106.85,3739.75
PO05215,2023-01-26,Nestle C&F Jaipur,Nescafe Classic Coffee,200g,14,305.41,4275.74
PO05216,2023-01-26,Nestle C&F Jaipur,Nestle Milkmaid,1kg,89,120.23,10700.47
PO05217,2023-01-31,Local Supplier,Extension Board 4-pin,1.5m,31,205.75,6378.25
PO05218,2023-01-31,Local Supplier,Anchor Switchboard,4 switch,47,297.92,14002.24
PO05219,2023-01-31,Local Supplier,Bournvita,500g,12,217.17,2606.04
PO05220,2023-01-31,Local Supplier,Scotch Brite Scrub,1 pc,64,68.11,4359.04
PO05221,2023-01-31,ITC Regional Depot,Fevicol Glue,100ml,88,96.01,8448.88
PO05222,2023-01-31,Local Supplier,Fair & Lovely Cream,50g,40,42.17,1686.8
PO05223,2023-01-31,Britannia Jaipur Hub,Monaco Crackers,80g,20,95.0,1900.0
PO05224,2023-01-31,Local Supplier,Reynolds Pen,10 pcs,49,39.42,1931.58
PO05225,2023-01-31,Local Supplier,Scotch Tape,3 rolls,13,113.09,1470.17
PO05226,2023-01-31,Local Supplier,Rin Bar,100g,74,107.38,7946.12
PO05227,2023-01-31,Local Supplier,Garbage Bags,30 pcs,99,41.73,4131.27
PO05228,2023-01-31,Local Supplier,All Out Liquid Refill,45ml,86,82.89,7128.54
PO05229,2023-01-31,Local Supplier,Dove Shampoo,200ml,75,293.05,21978.75
PO05230,2023-01-31,Local Supplier,Jockey Vest,M,32,243.24,7783.68
PO05231,2023-01-31,Local Supplier,Head & Shoulders Shampoo,180ml,86,310.47,26700.42
PO05232,2023-01-31,Local Supplier,MDH Garam Masala,50g,29,241.92,7015.68
PO05233,2023-01-31,Local Supplier,Colin Glass Cleaner,500ml,81,254.08,20580.48
PO05234,2023-01-31,Local Supplier,Fortune Sunflower Oil,1L,19,279.3,5306.7
PO05235,2023-01-31,Local Supplier,Odonil Air Freshener,75g,90,135.09,12158.1
PO05236,2023-01-31,Local Supplier,Red Label Tea,250g,31,311.75,9664.25
PO05237,2023-01-31,Amul Cooperative Jaipur,Amul Cheese Slices,200g,50,592.25,29612.5
PO05238,2023-02-02,ITC Regional Depot,Kurkure,73g,20,106.98,2139.6
PO05239,2023-02-02,Local Supplier,Surf Excel Detergent,2kg,66,132.34,8734.44
PO05240,2023-02-02,Local Supplier,Tang Powder,500g,84,102.57,8615.88
PO05241,2023-02-02,Local Supplier,Jockey Vest,S,92,207.03,19046.76
PO05242,2023-02-02,Local Supplier,Lifebuoy Soap,75g,69,168.09,11598.21
PO05243,2023-02-02,Local Supplier,Lux Soap,75g,64,124.6,7974.4
PO05244,2023-02-02,Local Supplier,Dove Shampoo,400ml,63,121.86,7677.18
PO05245,2023-02-02,Local Supplier,MDH Haldi Powder,250g,26,361.54,9400.04
PO05246,2023-02-02,Local Supplier,Scotch Tape,1 roll,51,12.84,654.84
PO05247,2023-02-02,Local Supplier,Patanjali Kesh Kanti,450ml,29,312.56,9064.24
PO05248,2023-02-02,Local Supplier,Syska LED Strip,1m,27,231.49,6250.23
PO05249,2023-02-02,ITC Regional Depot,Stapler Machine,Standard,15,48.9,733.5
PO05250,2023-02-02,Nestle C&F Jaipur,Nescafe Classic Coffee,100g,21,277.56,5828.76
PO05251,2023-02-02,Local Supplier,Paperboat Drinks,200ml,23,266.6,6131.8
PO05252,2023-02-02,ITC Regional Depot,Fevicol Glue,50ml,41,20.75,850.75
PO05253,2023-02-02,Local Supplier,All Out Liquid Refill,45ml,71,83.42,5922.82
PO05254,2023-02-02,Local Supplier,Candle Pack,24 pcs,77,120.33,9265.41
PO05255,2023-02-02,Local Supplier,Nivea Body Lotion,200ml,81,203.95,16519.95
PO05256,2023-02-02,Local Supplier,Extension Board 4-pin,3m,19,152.95,2906.05
PO05257,2023-02-02,Amul Cooperative Jaipur,Amul Butter,100g,31,360.98,11190.38
PO05258,2023-02-02,Local Supplier,Scotch Brite Scrub,1 pc,43,67.2,2889.6
PO05259,2023-02-02,Local Supplier,Surf Excel Detergent,500g,97,125.9,12212.3
PO05260,2023-02-02,ITC Regional Depot,Lays Chips,26g,63,171.6,10810.8
PO05261,2023-02-02,Britannia Jaipur Hub,Britannia Cheese Spread,180g,26,159.82,4155.32
PO05262,2023-02-02,Local Supplier,Natraj Pencil Box,10 pcs,22,117.03,2574.66
PO05263,2023-02-02,Local Supplier,Tang Powder,50g,14,215.16,3012.24
PO05264,2023-02-02,Local Supplier,Parachute Coconut Oil,1L,91,204.71,18628.61
PO05265,2023-02-02,Local Supplier,MDH Red Chilli Powder,100g,32,186.98,5983.36
PO05266,2023-02-02,Local Supplier,VIP Socks,2 pairs,16,140.51,2248.16
PO05267,2023-02-02,Local Supplier,VIP Socks,4 pairs,100,183.39,18339.0
PO05268,2023-02-02,Local Supplier,Odonil Air Freshener,150g,85,218.08,18536.8
PO05269,2023-02-02,Local Supplier,Candle Pack,12 pcs,20,171.88,3437.6
PO05270,2023-02-02,Local Supplier,MDH Red Chilli Powder,250g,90,119.4,10746.0
PO05271,2023-02-02,Local Supplier,Veet Hair Removal Cream,50g,24,211.42,5074.08
PO05272,2023-02-02,Local Supplier,MDH Red Chilli Powder,500g,13,255.28,3318.64
PO05273,2023-02-07,Local Supplier,Horlicks,500g,90,205.69,18512.1
PO05274,2023-02-07,Local Supplier,Fortune Sunflower Oil,1L,98,282.39,27674.22
PO05275,2023-02-07,Local Supplier,MDH Haldi Powder,100g,51,351.18,17910.18
PO05276,2023-02-07,Local Supplier,Lux Soap,75g,99,120.81,11960.19
PO05277,2023-02-07,ITC Regional Depot,Kurkure,73g,31,103.95,3222.45
PO05278,2023-02-07,Local Supplier,Wheel Detergent Powder,1kg,53,79.22,4198.66
PO05279,2023-02-07,Local Supplier,MDH Haldi Powder,250g,19,351.33,6675.27
PO05280,2023-02-07,Parle Agencies Jaipur,Parle-G Biscuits,100g,31,18.29,566.99
PO05281,2023-02-07,Britannia Jaipur Hub,Britannia Cheese Spread,180g,68,165.19,11232.92
PO05282,2023-02-07,Local Supplier,Tang Powder,100g,52,150.22,7811.44
PO05283,2023-02-07,Local Supplier,Fair & Lovely Cream,25g,76,73.1,5555.6
PO05284,2023-02-07,Britannia Jaipur Hub,Monaco Crackers,160g,69,19.43,1340.67
PO05285,2023-02-07,Local Supplier,Pantene Shampoo,370ml,34,277.74,9443.16
PO05286,2023-02-07,Britannia Jaipur Hub,Hide & Seek,75g,85,52.42,4455.7
PO05287,2023-02-07,Dabur Tonk Depot,Real Fruit Juice,2L,81,198.26,16059.06
PO05288,2023-02-07,Local Supplier,Vim Dish Wash,500ml,88,57.54,5063.52
PO05289,2023-02-07,Local Supplier,Clinic Plus Shampoo,350ml,46,154.08,7087.68
PO05290,2023-02-07,Local Supplier,Classmate Notebook,100 pages,40,42.73,1709.2
PO05291,2023-02-07,Local Supplier,MDH Haldi Powder,500g,23,187.87,4321.01
PO05292,2023-02-07,Local Supplier,Godrej Hit Cockroach Spray,200ml,14,86.65,1213.1
PO05293,2023-02-07,Local Supplier,Fortune Sunflower Oil,5L,24,141.43,3394.32
PO05294,2023-02-07,ITC Regional Depot,Annapurna Atta,5kg,42,137.39,5770.38
PO05295,2023-02-07,Local Supplier,Syska LED Strip,1m,78,225.22,17567.16
PO05296,2023-02-07,Amul Cooperative Jaipur,Amul Lassi,200ml,25,78.78,1969.5
PO05297,2023-02-07,Amul Cooperative Jaipur,Amul Butter,100g,50,364.37,18218.5
PO05298,2023-02-07,Local Supplier,Bournvita,1kg,18,164.47,2960.46
PO05299,2023-02-07,ITC Regional Depot,Fevicol Glue,50ml,54,19.72,1064.88
PO05300,2023-02-07,Britannia Jaipur Hub,Britannia Biscuits,100g,47,34.17,1605.99
PO05301,2023-02-07,Dabur Tonk Depot,Rooh Afza,750ml,40,111.78,4471.2
PO05302,2023-02-07,Local Supplier,Jockey Vest,S,86,199.56,17162.16
PO05303,2023-02-07,Local Supplier,Harpic Toilet Cleaner,500ml,30,79.07,2372.1
PO05304,2023-02-09,Local Supplier,Bajaj LED Bulb 9W,4 pcs,39,198.39,7737.21
PO05305,2023-02-09,Local Supplier,Scotch Tape,3 rolls,33,115.53,3812.49
PO05306,2023-02-09,ITC Regional Depot,Stapler Machine,Standard,70,48.54,3397.8
PO05307,2023-02-09,Local Supplier,Lux Soap,150g,89,81.17,7224.13
PO05308,2023-02-09,Local Supplier,Reynolds Pen,20 pcs,55,40.1,2205.5
PO05309,2023-02-09,Britannia Jaipur Hub,Monaco Crackers,160g,39,19.43,757.77
