product_name,category,company,size_variant,current_stock,last_purchase_date,last_sale_date,purchase_price,mrp,reorder_level
Burnol Cream,FMCG,Reckitt,20g,1153,2026-07-18,2026-08-29,35.0,52.0,142
Band-Aid Strips,FMCG,J&J,10pcs,882,2026-07-22,2026-08-25,22.0,32.0,110
ORS Oral Rehydration,FMCG,Dabur,21g,922,2026-07-25,2026-08-25,12.0,18.0,34
Vicks VapoRub,FMCG,P&G,50ml,977,2026-07-24,2026-08-28,96.0,148.0,51
Eno Fruit Salt,FMCG,Reckitt,100g,1147,2026-08-01,2026-08-29,61.0,78.0,84
Hajmola Tablets,FMCG,Dabur,120pcs,1003,2026-07-27,2026-08-29,35.0,50.0,110
Pudin Hara,FMCG,Dabur,20ml,1020,2026-07-20,2026-08-22,28.0,40.0,47
Reynolds Pen,FMCG,Reynolds,10pcs,1058,2026-07-23,2026-08-27,45.0,65.0,94
Classmate Notebook,FMCG,ITC,172pg,1018,2026-07-21,2026-08-29,38.0,55.0,145
Natraj Pencil,FMCG,Natraj,12pcs,761,2026-07-30,2026-08-25,28.0,40.0,73
Stayfree Pads,FMCG,J&J,8pcs,1139,2026-07-27,2026-08-27,65.0,95.0,82
Whisper Ultra,FMCG,P&G,8pcs,1087,2026-07-31,2026-08-22,68.0,98.0,109
Carefree Liner,FMCG,J&J,20pcs,1248,2026-07-28,2026-08-29,55.0,80.0,107
Bisleri Water 1L,Household,Bisleri,1L,1052,2026-07-19,2026-08-31,12.0,20.0,40
Bisleri Water 500ml,Household,Bisleri,500ml,1066,2026-07-30,2026-08-26,8.0,15.0,78
Aquaguard Filter Candle,Household,Aquaguard,1pc,1183,2026-07-18,2026-08-29,145.0,210.0,37
Comfort Fabric Softener,Household,HUL,800ml,1300,2026-07-27,2026-08-28,95.0,145.0,109
Dynamo Liquid Detergent,Household,HUL,1L,1370,2026-07-29,2026-08-29,115.0,170.0,75
Fevicol SH Adhesive,Household,Pidilite,200g,1100,2026-07-29,2026-08-24,62.0,95.0,138
Pidilite M-Seal,Household,Pidilite,50g,1133,2026-07-18,2026-08-29,48.0,72.0,120
Castrol Oil,Household,Castrol,1L,917,2026-07-23,2026-08-27,245.0,360.0,66
Battery Duracell AA,Household,Duracell,2pcs,1072,2026-07-25,2026-08-29,58.0,85.0,67
Battery Eveready AA,Household,Eveready,2pcs,1036,2026-07-26,2026-08-29,42.0,62.0,46
Sarpan Hybrid Seeds,Agricultural,Sarpan,500g,1042,2026-07-29,2026-08-26,185.0,260.0,74
Parle Groundnut Oil,Agricultural,Parle,1L,1150,2026-07-27,2026-08-26,110.0,150.0,97
Ruchi Soya Oil,Agricultural,Ruchi Soya,1L,1039,2026-07-20,2026-08-31,120.0,165.0,97
Naturefresh Oil,Agricultural,Cargill,1L,1108,2026-07-25,2026-08-27,115.0,158.0,112
Dhara Mustard Oil,Agricultural,Dhara,1L,1325,2026-07-31,2026-08-17,105.0,145.0,110
Sunfeast Bounce,Snacks,ITC,82g,967,2026-07-27,2026-08-29,28.0,40.0,98
Jim Jam Biscuit,Snacks,Britannia,150g,1279,2026-07-18,2026-08-29,22.0,32.0,85
Hide & Seek Biscuit,Snacks,Parle,120g,1162,2026-07-25,2026-08-24,32.0,45.0,76
Nutrichoice Biscuit,Snacks,Britannia,100g,1013,2026-07-29,2026-08-29,35.0,52.0,70
Tiger Biscuit,Snacks,Britannia,100g,1037,2026-07-20,2026-08-29,18.0,26.0,145
Harpic Bathroom Cleaner,Household,Reckitt,500ml,1332,2026-07-22,2026-08-31,78.0,120.0,30
Lizol Disinfectant Spray,Household,Reckitt,500ml,1167,2026-07-21,2026-08-28,68.0,105.0,79
Mortein Insect Spray,Household,Reckitt,300ml,1102,2026-07-28,2026-08-27,142.0,215.0,95
Colin Multipurpose Cleaner,Household,Reckitt,500ml,890,2026-07-18,2026-08-31,62.0,95.0,147
Dettol Antiseptic Liquid,Household,Reckitt,250ml,1216,2026-07-18,2026-08-26,75.0,115.0,138
