invoice_no,date,customer_name,customer_area,product_name,category,company,size_variant,quantity,purchase_price,sale_price,discount_pct,salesperson,payment_status,payment_due_date
SAL000043,2024-12-26,Bairwa Enterprises,Deoli,Maaza Mango,Beverages,Coca-Cola,600ml,10,32.0,45.0,0.0,Rakesh Singh,PAID,
SAL000050,2025-01-18,Bairwa Enterprises,Deoli,Gillette Fusion Razor,Personal Care,Gillette,2pcs,31,195.0,295.0,0.0,Arun Gupta,PAID,
SAL000050,2025-01-18,Bairwa Enterprises,Deoli,Ariel Detergent,Home Care,P&G,1kg,39,95.0,145.0,0.0,Arun Gupta,PAID,
SAL000050,2025-01-18,Bairwa Enterprises,Deoli,Real Fruit Juice,Beverages,Dabur,1L,9,66.0,95.0,0.0,Arun Gupta,PAID,
SAL000050,2025-01-18,Bairwa Enterprises,Deoli,Monaco Biscuit,Snacks,Parle,250g,44,28.0,40.0,0.0,Arun Gupta,PAID,
SAL000058,2025-04-03,Bairwa Enterprises,Deoli,Savlon Antiseptic,FMCG,ICI,200ml,3,55.0,80.0,0.0,Rakesh Singh,PAID,
SAL000063,2025-05-10,Bairwa Enterprises,Deoli,Nescafe Classic,Beverages,Nestle,50g,4,195.0,280.0,0.0,Arun Gupta,PARTIAL,2025-06-09
SAL000063,2025-05-10,Bairwa Enterprises,Deoli,Perk Chocolate,Snacks,Cadbury,36g,5,18.0,25.0,0.0,Arun Gupta,PARTIAL,2025-06-09
SAL000063,2025-05-10,Bairwa Enterprises,Deoli,Classmate Notebook,FMCG,ITC,172pg,35,38.0,55.0,0.0,Arun Gupta,PARTIAL,2025-06-09
SAL000067,2025-06-26,Bairwa Enterprises,Deoli,Nestle Milkmaid,Dairy,Nestle,400g,19,88.0,118.0,3.0,Rakesh Singh,PAID,
SAL000067,2025-06-26,Bairwa Enterprises,Deoli,Pepsi,Beverages,PepsiCo,750ml,4,28.0,40.0,0.0,Rakesh Singh,PAID,
SAL000068,2025-06-07,Bairwa Enterprises,Deoli,Exo Dishwash Bar,Home Care,HUL,200g,1,15.0,22.0,10.0,Arun Gupta,PARTIAL,2025-07-07
SAL000068,2025-06-07,Bairwa Enterprises,Deoli,Amul Butter,Packaged Foods,Amul,500g,18,211.0,270.0,2.0,Arun Gupta,PARTIAL,2025-07-07
SAL000068,2025-06-07,Bairwa Enterprises,Deoli,Nestle Milkmaid,Dairy,Nestle,400g,20,88.0,118.0,0.0,Arun Gupta,PARTIAL,2025-07-07
SAL000084,2026-01-28,Bairwa Enterprises,Deoli,All Out Mosquito Repellent,Home Care,HUL,45ml,42,55.0,82.0,0.0,Rakesh Singh,PAID,
SAL000084,2026-01-28,Bairwa Enterprises,Deoli,Band-Aid Strips,FMCG,J&J,10pcs,24,22.0,32.0,0.0,Rakesh Singh,PAID,
SAL000084,2026-01-28,Bairwa Enterprises,Deoli,Sprite,Beverages,Coca-Cola,750ml,17,28.0,40.0,7.0,Rakesh Singh,PAID,
SAL000084,2026-01-28,Bairwa Enterprises,Deoli,Maggi Masala,Packaged Foods,Nestle,100g,16,22.0,30.0,0.0,Rakesh Singh,PAID,
SAL000084,2026-01-28,Bairwa Enterprises,Deoli,Bisleri Water 500ml,Household,Bisleri,500ml,34,8.0,15.0,0.0,Rakesh Singh,PAID,
SAL000084,2026-01-28,Bairwa Enterprises,Deoli,Marie Gold Biscuit,Snacks,Britannia,250g,13,24.0,34.0,3.0,Rakesh Singh,PAID,
SAL000084,2026-01-28,Bairwa Enterprises,Deoli,Aashirvaad Atta,Packaged Foods,ITC,5kg,12,203.0,260.0,0.0,Rakesh Singh,PAID,
SAL000084,2026-01-28,Bairwa Enterprises,Deoli,Fortune Sunflower Oil,Packaged Foods,Marico,1L,13,125.0,170.0,0.0,Rakesh Singh,PAID,
SAL000093,2026-05-09,Bairwa Enterprises,Deoli,Pepsi,Beverages,PepsiCo,750ml,27,28.0,40.0,5.0,Rakesh Singh,PAID,
SAL000093,2026-05-09,Bairwa Enterprises,Deoli,Nescafe Classic,Beverages,Nestle,50g,63,195.0,280.0,0.0,Rakesh Singh,PAID,
SAL000093,2026-05-09,Bairwa Enterprises,Deoli,Fair & Lovely Cream,Personal Care,HUL,100g,14,58.0,88.0,0.0,Rakesh Singh,PAID,
SAL000093,2026-05-09,Bairwa Enterprises,Deoli,Coca Cola,Beverages,Coca-Cola,750ml,27,30.0,42.0,10.0,Rakesh Singh,PAID,
SAL000093,2026-05-09,Bairwa Enterprises,Deoli,Pantene Shampoo,Personal Care,P&G,180ml,6,125.0,185.0,0.0,Rakesh Singh,PAID,
SAL000099,2024-09-06,Patel Sons,Khanpur,Britannia Good Day,Snacks,Britannia,200g,25,27.0,38.0,0.0,Nikhil Gupta,PAID,
SAL000099,2024-09-06,Patel Sons,Khanpur,Mortein Insect Spray,Household,Reckitt,300ml,36,142.0,215.0,3.0,Nikhil Gupta,PAID,
SAL000099,2024-09-06,Patel Sons,Khanpur,Dettol Handwash,FMCG,Reckitt,200ml,5,65.0,95.0,0.0,Nikhil Gupta,PAID,
SAL000099,2024-09-06,Patel Sons,Khanpur,Gillette Mach3 Razor,Personal Care,Gillette,2pcs,29,95.0,145.0,7.0,Nikhil Gupta,PAID,
SAL000099,2024-09-06,Patel Sons,Khanpur,Domex Toilet Cleaner,Home Care,HUL,500ml,34,68.0,102.0,0.0,Nikhil Gupta,PAID,
SAL000113,2025-02-26,Patel Sons,Khanpur,Dabur Amla Hair Oil,Personal Care,Dabur,500ml,24,68.0,100.0,0.0,Amit Sharma,PAID,
SAL000113,2025-02-26,Patel Sons,Khanpur,Comfort Fabric Softener,Household,HUL,800ml,41,95.0,145.0,0.0,Amit Sharma,PAID,
SAL000113,2025-02-26,Patel Sons,Khanpur,Dettol Soap,Personal Care,Reckitt,125g,17,31.0,48.0,0.0,Amit Sharma,PAID,
SAL000119,2025-04-07,Patel Sons,Khanpur,Sunfeast Dark Fantasy,Snacks,ITC,150g,8,31.0,45.0,2.0,Amit Sharma,PAID,
SAL000119,2025-04-07,Patel Sons,Khanpur,Amul Kool Milk,Beverages,Amul,200ml,20,18.0,25.0,0.0,Amit Sharma,PAID,
SAL000119,2025-04-07,Patel Sons,Khanpur,Sarpan Hybrid Seeds,Agricultural,Sarpan,500g,21,185.0,260.0,0.0,Amit Sharma,PAID,
SAL000119,2025-04-07,Patel Sons,Khanpur,Dettol Handwash,FMCG,Reckitt,200ml,2,65.0,95.0,3.0,Amit Sharma,PAID,
SAL000122,2025-06-18,Patel Sons,Khanpur,Frooti Mango Drink,Beverages,PepsiCo,200ml,36,9.0,13.0,0.0,Nikhil Gupta,PAID,
SAL000122,2025-06-18,Patel Sons,Khanpur,Harpic Bathroom Cleaner,Household,Reckitt,500ml,20,78.0,120.0,2.0,Nikhil Gupta,PAID,
SAL000122,2025-06-18,Patel Sons,Khanpur,Amul Milk 1L Pouch,Dairy,Amul,1L,21,55.0,68.0,0.0,Nikhil Gupta,PAID,
SAL000124,2025-06-07,Patel Sons,Khanpur,Dettol Handwash,FMCG,Reckitt,200ml,23,65.0,95.0,0.0,Nikhil Gupta,PAID,
SAL000124,2025-06-07,Patel Sons,Khanpur,Dove Soap,Personal Care,HUL,75g,11,42.0,65.0,0.0,Nikhil Gupta,PAID,
SAL000124,2025-06-07,Patel Sons,Khanpur,Catch Black Pepper,Packaged Foods,Catch,50g,24,38.0,52.0,0.0,Nikhil Gupta,PAID,
SAL000124,2025-06-07,Patel Sons,Khanpur,Exo Dishwash Bar,Home Care,HUL,200g,26,15.0,22.0,0.0,Nikhil Gupta,PAID,
SAL000124,2025-06-07,Patel Sons,Khanpur,Rin Detergent,Home Care,HUL,500g,14,38.0,58.0,0.0,Nikhil Gupta,PAID,
SAL000129,2025-07-22,Patel Sons,Khanpur,Real Fruit Juice,Beverages,Dabur,1L,8,66.0,95.0,5.0,Amit Sharma,PAID,
SAL000129,2025-07-22,Patel Sons,Khanpur,Amul Milk 1L Pouch,Dairy,Amul,1L,40,55.0,68.0,0.0,Amit Sharma,PAID,
SAL000129,2025-07-22,Patel Sons,Khanpur,Scotch Brite Scrub,Home Care,3M,1pc,27,22.0,35.0,3.0,Amit Sharma,PAID,
SAL000129,2025-07-22,Patel Sons,Khanpur,Britannia 50-50 Biscuit,Snacks,Britannia,100g,4,18.0,26.0,0.0,Amit Sharma,PAID,
SAL000131,2025-08-29,Patel Sons,Khanpur,Carefree Liner,FMCG,J&J,20pcs,6,55.0,80.0,5.0,Amit Sharma,PAID,
SAL000131,2025-08-29,Patel Sons,Khanpur,Bisleri Water 1L,Household,Bisleri,1L,18,12.0,20.0,0.0,Amit Sharma,PAID,
SAL000131,2025-08-29,Patel Sons,Khanpur,Bisleri Water 500ml,Household,Bisleri,500ml,6,8.0,15.0,0.0,Amit Sharma,PAID,
SAL000143,2026-01-13,Patel Sons,Khanpur,Captain Cook Salt,Packaged Foods,Tata,1kg,42,16.0,22.0,0.0,Nikhil Gupta,PAID,
SAL000143,2026-01-13,Patel Sons,Khanpur,Fortune Sunflower Oil,Packaged Foods,Marico,1L,8,125.0,170.0,0.0,Nikhil Gupta,PAID,
SAL000143,2026-01-13,Patel Sons,Khanpur,Mortein Insect Spray,Household,Reckitt,300ml,28,142.0,215.0,0.0,Nikhil Gupta,PAID,
SAL000143,2026-01-13,Patel Sons,Khanpur,Battery Duracell AA,Household,Duracell,2pcs,22,58.0,85.0,3.0,Nikhil Gupta,PAID,
SAL000155,2026-05-20,Patel Sons,Khanpur,Fortune Sunflower Oil,Packaged Foods,Marico,1L,17,125.0,170.0,0.0,Nikhil Gupta,PARTIAL,2026-06-19
SAL000155,2026-05-20,Patel Sons,Khanpur,Vim Dishwash Liquid,Home Care,HUL,500ml,16,85.0,128.0,0.0,Nikhil Gupta,PARTIAL,2026-06-19
SAL000155,2026-05-20,Patel Sons,Khanpur,Sarpan Hybrid Seeds,Agricultural,Sarpan,500g,41,185.0,260.0,0.0,Nikhil Gupta,PARTIAL,2026-06-19
SAL000158,2026-06-20,Patel Sons,Khanpur,Surf Excel Detergent,Home Care,HUL,1kg,12,91.0,140.0,0.0,Nikhil Gupta,OVERDUE,2026-07-20
SAL000158,2026-06-20,Patel Sons,Khanpur,Pudin Hara,FMCG,Dabur,20ml,48,28.0,40.0,0.0,Nikhil Gupta,OVERDUE,2026-07-20
SAL000158,2026-06-20,Patel Sons,Khanpur,Captain Cook Salt,Packaged Foods,Tata,1kg,36,16.0,22.0,0.0,Nikhil Gupta,OVERDUE,2026-07-20
SAL000162,2026-08-29,Patel Sons,Khanpur,Marie Gold Biscuit,Snacks,Britannia,250g,7,24.0,34.0,0.0,Amit Sharma,UNPAID,2026-09-28
SAL000162,2026-08-29,Patel Sons,Khanpur,Gillette Fusion Razor,Personal Care,Gillette,2pcs,45,195.0,295.0,2.0,Amit Sharma,UNPAID,2026-09-28
SAL000162,2026-08-29,Patel Sons,Khanpur,Nutrichoice Biscuit,Snacks,Britannia,100g,22,35.0,52.0,0.0,Amit Sharma,UNPAID,2026-09-28
SAL000162,2026-08-29,Patel Sons,Khanpur,Amul Kool Milk,Beverages,Amul,200ml,36,18.0,25.0,5.0,Amit Sharma,UNPAID,2026-09-28
SAL000162,2026-08-29,Patel Sons,Khanpur,Coca Cola,Beverages,Coca-Cola,750ml,53,30.0,42.0,0.0,Amit Sharma,UNPAID,2026-09-28
SAL000162,2026-08-29,Patel Sons,Khanpur,Eno Fruit Salt,FMCG,Reckitt,100g,31,61.0,78.0,2.0,Amit Sharma,UNPAID,2026-09-28
SAL000162,2026-08-29,Patel Sons,Khanpur,Gillette Mach3 Razor,Personal Care,Gillette,2pcs,41,95.0,145.0,0.0,Amit Sharma,UNPAID,2026-09-28
SAL000162,2026-08-29,Patel Sons,Khanpur,Britannia Good Day,Snacks,Britannia,200g,42,27.0,38.0,0.0,Amit Sharma,UNPAID,2026-09-28
SAL000164,2025-01-31,Kumar Departmental Store,Todaraisingh,Dabur Amla Hair Oil,Personal Care,Dabur,500ml,16,68.0,100.0,0.0,Ravi Choudhary,PARTIAL,2025-03-02
SAL000167,2024-09-17,Kumar Supermart,Uniara,Jim Jam Biscuit,Snacks,Britannia,150g,3,22.0,32.0,0.0,Ramesh Kumar,PAID,
SAL000167,2024-09-17,Kumar Supermart,Uniara,Slice Mango Drink,Beverages,PepsiCo,600ml,25,28.0,40.0,0.0,Ramesh Kumar,PAID,
SAL000167,2024-09-17,Kumar Supermart,Uniara,Vim Dishwash Bar,Personal Care,HUL,300g,45,18.0,28.0,2.0,Ramesh Kumar,PAID,
SAL000167,2024-09-17,Kumar Supermart,Uniara,Bingo Mad Angles,Snacks,ITC,90g,1,22.0,32.0,7.0,Ramesh Kumar,PAID,
SAL000167,2024-09-17,Kumar Supermart,Uniara,Pidilite M-Seal,Household,Pidilite,50g,20,48.0,72.0,3.0,Ramesh Kumar,PAID,
SAL000167,2024-09-17,Kumar Supermart,Uniara,Parachute Coconut Oil,Personal Care,Marico,500ml,23,75.0,110.0,2.0,Ramesh Kumar,PAID,
SAL000179,2025-02-20,Kumar Supermart,Uniara,Fevicol SH Adhesive,Household,Pidilite,200g,24,62.0,95.0,0.0,Ramesh Kumar,PAID,
SAL000179,2025-02-20,Kumar Supermart,Uniara,Crax Corn Rings,Snacks,DFM,30g,16,8.0,12.0,3.0,Ramesh Kumar,PAID,
SAL000180,2025-02-28,Kumar Supermart,Uniara,Slice Mango Drink,Beverages,PepsiCo,600ml,3,28.0,40.0,0.0,Ramesh Kumar,PARTIAL,2025-03-30
SAL000180,2025-02-28,Kumar Supermart,Uniara,Pears Soap,Personal Care,HUL,75g,48,38.0,58.0,0.0,Ramesh Kumar,PARTIAL,2025-03-30
SAL000180,2025-02-28,Kumar Supermart,Uniara,Whisper Ultra,FMCG,P&G,8pcs,1,68.0,98.0,7.0,Ramesh Kumar,PARTIAL,2025-03-30
SAL000182,2025-02-06,Kumar Supermart,Uniara,Britannia Good Day,Snacks,Britannia,200g,34,27.0,38.0,0.0,Ramesh Kumar,PARTIAL,2025-03-08
SAL000182,2025-02-06,Kumar Supermart,Uniara,Clinic Plus Shampoo,Personal Care,HUL,175ml,25,51.0,78.0,0.0,Ramesh Kumar,PARTIAL,2025-03-08
SAL000182,2025-02-06,Kumar Supermart,Uniara,Crax Corn Rings,Snacks,DFM,30g,30,8.0,12.0,5.0,Ramesh Kumar,PARTIAL,2025-03-08
SAL000182,2025-02-06,Kumar Supermart,Uniara,Amul Cheese,Packaged Foods,Amul,200g,17,129.0,165.0,0.0,Ramesh Kumar,PARTIAL,2025-03-08
SAL000183,2025-02-08,Kumar Supermart,Uniara,Jim Jam Biscuit,Snacks,Britannia,150g,1,22.0,32.0,3.0,Ramesh Kumar,PARTIAL,2025-03-10
SAL000183,2025-02-08,Kumar Supermart,Uniara,Mortein Insect Spray,Household,Reckitt,300ml,16,142.0,215.0,2.0,Ramesh Kumar,PARTIAL,2025-03-10
SAL000183,2025-02-08,Kumar Supermart,Uniara,Amul Cheese,Packaged Foods,Amul,200g,14,129.0,165.0,0.0,Ramesh Kumar,PARTIAL,2025-03-10
SAL000183,2025-02-08,Kumar Supermart,Uniara,Whisper Ultra,FMCG,P&G,8pcs,17,68.0,98.0,0.0,Ramesh Kumar,PARTIAL,2025-03-10
SAL000186,2025-03-24,Kumar Supermart,Uniara,Bru Gold Coffee,Beverages,HUL,100g,37,175.0,250.0,3.0,Ramesh Kumar,PAID,
SAL000186,2025-03-24,Kumar Supermart,Uniara,Mother Dairy Curd,Dairy,Mother Dairy,400g,49,35.0,48.0,0.0,Ramesh Kumar,PAID,
SAL000186,2025-03-24,Kumar Supermart,Uniara,Amul Cone Ice Cream,Dairy,Amul,65ml,32,22.0,32.0,0.0,Ramesh Kumar,PAID,
SAL000186,2025-03-24,Kumar Supermart,Uniara,Whisper Ultra,FMCG,P&G,8pcs,21,68.0,98.0,2.0,Ramesh Kumar,PAID,
SAL000186,2025-03-24,Kumar Supermart,Uniara,All Out Mosquito Repellent,Home Care,HUL,45ml,29,55.0,82.0,3.0,Ramesh Kumar,PAID,
SAL000186,2025-03-24,Kumar Supermart,Uniara,Amul Butter,Packaged Foods,Amul,500g,55,211.0,270.0,3.0,Ramesh Kumar,PAID,
SAL000186,2025-03-24,Kumar Supermart,Uniara,Brooke Bond Red Label Tea,Beverages,HUL,250g,26,95.0,130.0,2.0,Ramesh Kumar,PAID,
SAL000192,2025-04-03,Kumar Supermart,Uniara,Yippee Noodles,Snacks,ITC,70g,55,12.0,17.0,3.0,Vijay Sharma,PARTIAL,2025-05-03
SAL000192,2025-04-03,Kumar Supermart,Uniara,Gillette Mach3 Razor,Personal Care,Gillette,2pcs,42,95.0,145.0,0.0,Vijay Sharma,PARTIAL,2025-05-03
SAL000192,2025-04-03,Kumar Supermart,Uniara,Fevicol SH Adhesive,Household,Pidilite,200g,20,62.0,95.0,10.0,Vijay Sharma,PARTIAL,2025-05-03
SAL000192,2025-04-03,Kumar Supermart,Uniara,Vim Dishwash Bar,Personal Care,HUL,300g,2,18.0,28.0,0.0,Vijay Sharma,PARTIAL,2025-05-03
SAL000192,2025-04-03,Kumar Supermart,Uniara,Surf Excel Detergent,Home Care,HUL,1kg,28,91.0,140.0,0.0,Vijay Sharma,PARTIAL,2025-05-03
SAL000192,2025-04-03,Kumar Supermart,Uniara,Real Fruit Juice,Beverages,Dabur,1L,68,66.0,95.0,0.0,Vijay Sharma,PARTIAL,2025-05-03
SAL000192,2025-04-03,Kumar Supermart,Uniara,Rajdhani Besan,Packaged Foods,Rajdhani,1kg,39,62.0,85.0,0.0,Vijay Sharma,PARTIAL,2025-05-03
SAL000192,2025-04-03,Kumar Supermart,Uniara,Slice Mango Drink,Beverages,PepsiCo,600ml,36,28.0,40.0,0.0,Vijay Sharma,PARTIAL,2025-05-03
SAL000202,2025-05-17,Kumar Supermart,Uniara,Amul Cone Ice Cream,Dairy,Amul,65ml,2,22.0,32.0,3.0,Ramesh Kumar,PAID,
SAL000202,2025-05-17,Kumar Supermart,Uniara,Britannia Good Day,Snacks,Britannia,200g,14,27.0,38.0,0.0,Ramesh Kumar,PAID,
SAL000202,2025-05-17,Kumar Supermart,Uniara,Frooti Mango Drink,Beverages,PepsiCo,200ml,42,9.0,13.0,0.0,Ramesh Kumar,PAID,
SAL000207,2025-06-06,Kumar Supermart,Uniara,Tiger Biscuit,Snacks,Britannia,100g,32,18.0,26.0,3.0,Vijay Sharma,PARTIAL,2025-07-06
SAL000207,2025-06-06,Kumar Supermart,Uniara,Dabur Amla Hair Oil,Personal Care,Dabur,500ml,6,68.0,100.0,2.0,Vijay Sharma,PARTIAL,2025-07-06
SAL000207,2025-06-06,Kumar Supermart,Uniara,Tata Salt,Packaged Foods,Tata,1kg,29,18.0,24.0,0.0,Vijay Sharma,PARTIAL,2025-07-06
SAL000215,2025-07-22,Kumar Supermart,Uniara,Surf Excel Detergent,Home Care,HUL,1kg,7,91.0,140.0,0.0,Ramesh Kumar,PARTIAL,2025-08-21
SAL000215,2025-07-22,Kumar Supermart,Uniara,Eno Fruit Salt,FMCG,Reckitt,100g,17,61.0,78.0,0.0,Ramesh Kumar,PARTIAL,2025-08-21
SAL000222,2025-08-08,Kumar Supermart,Uniara,Amul Cone Ice Cream,Dairy,Amul,65ml,31,22.0,32.0,3.0,Ramesh Kumar,PARTIAL,2025-09-07
SAL000222,2025-08-08,Kumar Supermart,Uniara,Oreo Biscuit,Snacks,Mondelez,120g,33,38.0,55.0,0.0,Ramesh Kumar,PARTIAL,2025-09-07
SAL000222,2025-08-08,Kumar Supermart,Uniara,Lizol Floor Cleaner,Home Care,Reckitt,500ml,16,72.0,110.0,5.0,Ramesh Kumar,PARTIAL,2025-09-07
SAL000222,2025-08-08,Kumar Supermart,Uniara,Vivel Soap,Personal Care,ITC,100g,41,20.0,30.0,0.0,Ramesh Kumar,PARTIAL,2025-09-07
SAL000222,2025-08-08,Kumar Supermart,Uniara,Pepsi,Beverages,PepsiCo,750ml,10,28.0,40.0,3.0,Ramesh Kumar,PARTIAL,2025-09-07
SAL000222,2025-08-08,Kumar Supermart,Uniara,Kwality Walls Cornetto,Dairy,HUL,65ml,20,28.0,40.0,3.0,Ramesh Kumar,PARTIAL,2025-09-07
SAL000222,2025-08-08,Kumar Supermart,Uniara,Ruchi Soya Oil,Agricultural,Ruchi Soya,1L,44,120.0,165.0,2.0,Ramesh Kumar,PARTIAL,2025-09-07
SAL000222,2025-08-08,Kumar Supermart,Uniara,Eno Fruit Salt,FMCG,Reckitt,100g,32,61.0,78.0,0.0,Ramesh Kumar,PARTIAL,2025-09-07
SAL000223,2025-08-28,Kumar Supermart,Uniara,Kwality Walls Cornetto,Dairy,HUL,65ml,38,28.0,40.0,0.0,Vijay Sharma,PARTIAL,2025-09-27
SAL000223,2025-08-28,Kumar Supermart,Uniara,Hippo Rings,Snacks,PepsiCo,40g,5,10.0,14.0,3.0,Vijay Sharma,PARTIAL,2025-09-27
SAL000223,2025-08-28,Kumar Supermart,Uniara,Carefree Liner,FMCG,J&J,20pcs,49,55.0,80.0,0.0,Vijay Sharma,PARTIAL,2025-09-27
SAL000223,2025-08-28,Kumar Supermart,Uniara,Odonil Air Freshener,Home Care,Dabur,50g,45,42.0,65.0,2.0,Vijay Sharma,PARTIAL,2025-09-27
SAL000223,2025-08-28,Kumar Supermart,Uniara,Maggi Masala,Packaged Foods,Nestle,100g,3,22.0,30.0,0.0,Vijay Sharma,PARTIAL,2025-09-27
SAL000225,2025-08-15,Kumar Supermart,Uniara,Uncle Chips,Snacks,PepsiCo,60g,28,15.0,22.0,0.0,Vijay Sharma,PARTIAL,2025-09-14
SAL000225,2025-08-15,Kumar Supermart,Uniara,Parachute Coconut Oil,Personal Care,Marico,500ml,26,75.0,110.0,0.0,Vijay Sharma,PARTIAL,2025-09-14
SAL000225,2025-08-15,Kumar Supermart,Uniara,Rin Detergent,Home Care,HUL,500g,43,38.0,58.0,0.0,Vijay Sharma,PARTIAL,2025-09-14
SAL000225,2025-08-15,Kumar Supermart,Uniara,Odonil Air Freshener,Home Care,Dabur,50g,41,42.0,65.0,0.0,Vijay Sharma,PARTIAL,2025-09-14
SAL000225,2025-08-15,Kumar Supermart,Uniara,Lux Beauty Soap,Personal Care,HUL,100g,2,22.0,35.0,0.0,Vijay Sharma,PARTIAL,2025-09-14
SAL000225,2025-08-15,Kumar Supermart,Uniara,Head & Shoulders Shampoo,Personal Care,P&G,180ml,25,118.0,175.0,0.0,Vijay Sharma,PARTIAL,2025-09-14
SAL000225,2025-08-15,Kumar Supermart,Uniara,Eno Fruit Salt,FMCG,Reckitt,100g,17,61.0,78.0,10.0,Vijay Sharma,PARTIAL,2025-09-14
SAL000237,2025-11-12,Kumar Supermart,Uniara,Vim Dishwash Bar,Personal Care,HUL,300g,10,18.0,28.0,0.0,Vijay Sharma,PARTIAL,2025-12-12
SAL000237,2025-11-12,Kumar Supermart,Uniara,Vivel Soap,Personal Care,ITC,100g,20,20.0,30.0,0.0,Vijay Sharma,PARTIAL,2025-12-12
SAL000237,2025-11-12,Kumar Supermart,Uniara,Vim Dishwash Liquid,Home Care,HUL,500ml,45,85.0,128.0,0.0,Vijay Sharma,PARTIAL,2025-12-12
SAL000237,2025-11-12,Kumar Supermart,Uniara,Head & Shoulders Shampoo,Personal Care,P&G,180ml,16,118.0,175.0,0.0,Vijay Sharma,PARTIAL,2025-12-12
SAL000237,2025-11-12,Kumar Supermart,Uniara,Sarpan Hybrid Seeds,Agricultural,Sarpan,500g,6,185.0,260.0,5.0,Vijay Sharma,PARTIAL,2025-12-12
SAL000237,2025-11-12,Kumar Supermart,Uniara,Rajdhani Besan,Packaged Foods,Rajdhani,1kg,59,62.0,85.0,0.0,Vijay Sharma,PARTIAL,2025-12-12
